Joint Number,Joint Length [ft],WT [in],"Distance to U/S GW 
[ft]","Distance to D/S GW 
[ft]","ILI Wheel Count 
[ft.]",Event Description,ID/OD,"Metal Loss Depth 
[%]","Metal Loss Depth 
[in]","Metal Loss Depth + Tolerance
[%]",Dimension Classification,"Metal Loss Depth Tolerance [%] 
(includes seamless and HAZ and modified specs)","Dent Depth
 [%]","Dent Depth
 [in]","Is any part of the dent affecting the top of the pipe? 
[Y/N]",Length [in],Width [in],"O'clock
[hh:mm]",Comments,Anomalies per Joint,"Was anomaly sizing reviewed by analyst? 
[Y/N]","Was anomaly sizing/dimensions manually changed? 
[Y/N]","Magnetization Level 
[kA/m] for MFL survey 
or 
Actual WT [in] for UT Survey",Elevation [ft],"Seam Position
[hh:mm]","Distance To Seam Weld 
[in]",Tool,Evaluation Pressure [PSI],SMYS [PSI],Pipe Type,"Pipe Diameter (O.D.) 
[in.]",Pdesign [PSI],"Mod B31G Psafe 
[PSI]",Mod B31G Pburst [PSI],"Mod B31G Psafe Pressure with Tolerance
[PSI]","Mod B31G Pburst Pressure with Tolerance
[PSI]",Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,Length Tolerance [in],Width Tolerance [in],clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification,distance_m_aligned_to_2015
4760,40.213,0.344,,,16945.256,Girth Weld,,,,,,,,,,,,,GIRTH WELD,1,,,5.97,250.944,11:36,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4760,40.213,0.344,33.146,7.067,16978.402,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,3.9,1.7,11:32:00,EXT ML ( ON SW ),1,N,N,5.97,250.653,11:36,0.419,CMFL,1025,65000,E.R. WELD,24,1341.6,1479.8,2055.3,1396.5,1939.6,1466.4,2036.7,0.693,1.103,1.0,1.2,330.0,10.1029008,ft,99.05999999999999,in,43.18,in,15.0,330.0,gene,True,True,True,3758.935399205327
4770,40.125,0.344,,,16985.469,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,250.584,11:40,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4770,40.125,0.344,,,17018.274,Field Bend,,,,,,,,,,,,,BEND-COLD RIGHT,0,,,5.97,250.288,11:40,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4780,40.246,0.344,,,17025.594,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,250.222,10:40,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4790,40.026,0.344,,,17065.837,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,250.219,10:24,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4800,40.302,0.344,,,17105.866,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,251.495,10:52,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4810,40.233,0.344,,,17146.165,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,253.175,02:12,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4810,40.233,0.344,,,17160.518,AGM,,,,,,,,,,,,,AGM 8 - AT LINE MARKER ON FENCELINE,0,,,5.97,254.55,02:12,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4820,40.466,0.344,,,17186.398,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,257.323,12:24,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4830,11.877,0.344,,,17226.864,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,267.498,10:28,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4840,40.289,0.344,,,17238.74,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,271.19,09:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4850,40.144,0.344,,,17279.029,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,286.726,11:20,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4860,40.302,0.344,,,17319.173,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,304.274,09:24,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4870,40.059,0.344,,,17359.475,Girth Weld,,,,,,,,,,,,,GIRTH WELD,1,,,5.97,323.221,10:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4870,40.059,0.344,3.73,36.329,17363.205,Seam Weld Manufacturing Anomaly,,,,,,,,,,2.7,,10:12:00,SWA,1,N,N,5.97,325.051,10:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,300.0,1.1369040000000001,ft,68.58,in,,in,,300.0,,True,False,False,42.104877138342204
4880,40.233,0.344,,,17399.534,Girth Weld,,,,,,,,,,,,,GIRTH WELD,3,,,5.97,344.24,11:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4880,40.233,0.344,21.175,19.058,17420.709,Seam Weld Manufacturing Anomaly,,,,,,,,,,15.1,,11:24:00,SWA,3,N,N,5.97,355.414,11:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,330.0,6.454140000000001,ft,383.53999999999996,in,,in,,330.0,,True,False,False,2246.3511532281764
4880,40.233,0.344,29.475,10.758,17429.009,Seam Weld Manufacturing Anomaly,,,,,,,,,,13.2,,11:24:00,SWA,3,N,N,5.97,359.794,11:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,330.0,8.98398,ft,335.28,in,,in,,330.0,,True,False,False,3295.089708203563
4880,40.233,0.344,32.293,7.94,17431.827,Seam Weld Manufacturing Anomaly,,,,,,,,,,11.9,,11:26:00,SWA,3,N,N,5.97,361.282,11:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,330.0,9.8429064,ft,302.26,in,,in,,330.0,,True,False,False,3651.155400724122
4890,40.115,0.344,,,17439.767,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,365.471,02:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4900,40.243,0.344,,,17479.882,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,384.906,03:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4900,40.243,0.344,,,17519.354,Start Repair Marker,,,,,,,,,,,,,REPAIR MARKER 2012 DIG 11 RECOAT START,0,,,5.97,401.205,03:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4910,40.171,0.344,,,17520.125,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,401.52,07:28,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4910,40.171,0.344,,,17521.017,End Repair Marker,,,,,,,,,,,,,REPAIR MARKER 2012 DIG 11 RECOAT END,0,,,5.97,401.884,07:28,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4920,40.364,0.344,,,17560.295,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,413.765,09:32,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4930,10.026,0.5,,,17600.659,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,417.981,06:20,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4930,10.026,0.5,,,17605.696,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 5.5D - 23° OVER,0,,,4.14,417.575,06:20,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4940,25.043,0.344,,,17610.689,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,416.326,08:32,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4950,31.247,0.344,,,17635.728,Girth Weld,,,,,,,,,,,,,GIRTH WELD,3,,,5.97,404.246,09:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4950,31.247,0.344,15.771,15.472,17651.503,Seam Weld Manufacturing Anomaly,,,,,,,,,,7.2,,09:05:00,SWA,3,N,N,5.97,396.672,09:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,270.0,4.807000800000001,ft,182.88,in,,in,,270.0,,True,False,False,1563.533906109262
4950,31.247,0.344,17.625,13.622,17653.353,Seam Weld Manufacturing Anomaly,,,,,,,,,,11.6,,09:05:00,SWA,3,N,N,5.97,395.792,09:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,270.0,5.3721000000000005,ft,294.64,in,,in,,270.0,,True,False,False,1797.7943014013545
4950,31.247,0.344,20.469,10.774,17656.201,Seam Weld Manufacturing Anomaly,,,,,,,,,,13.3,,09:02:00,SWA,3,N,N,5.97,394.44,09:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,270.0,6.238951200000001,ft,337.82,in,,in,,270.0,,True,False,False,2157.1451990338846
4960,40.105,0.344,,,17666.975,Girth Weld,,,,,,,,,,,,,GIRTH WELD,1,,,5.97,389.323,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4960,40.105,0.344,1.23,38.871,17668.209,Metal Loss,External,29.0,0.1,44.0,GENE,20.0,,,,43.5,6.3,10:17:00,EXT ML,1,N,N,5.97,388.738,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,1190.7,1653.7,1004.3,1394.9,1414.7,1964.9,0.861,0.89,1.0,1.2,300.0,0.374904,ft,1104.8999999999999,in,160.01999999999998,in,29.0,300.0,gene,True,True,True,-273.7802297819551
4970,40.128,0.344,,,17707.08,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,373.09,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4980,40.187,0.344,,,17747.208,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,361.934,02:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
4990,40.046,0.344,,,17787.395,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,355.971,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5000,40.098,0.344,,,17827.441,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,353.182,07:20,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5010,40.18,0.344,,,17867.543,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,353.358,07:32,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5020,31.903,0.344,,,17907.723,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,355.097,04:28,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5030,40.098,0.344,,,17939.626,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,357.929,06:36,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5040,40.19,0.344,,,17979.724,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,361.986,07:40,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5050,40.043,0.344,,,18019.915,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,366.967,03:40,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5060,31.437,0.344,,,18059.957,Girth Weld,,,,,,,,,,,,,GIRTH WELD,3,,,5.97,372.896,01:48,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5060,31.437,0.344,7.346,24.088,18067.303,Seam Weld Manufacturing Anomaly,,,,,,,,,,4.4,,01:47:00,SWA,3,N,N,5.97,373.784,01:48,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,30.0,2.2390608000000003,ft,111.76,in,,in,,30.0,,True,False,False,499.00109578786015
5060,31.437,0.344,25.249,6.184,18085.207,Seam Weld Manufacturing Anomaly,,,,,,,,,,6.7,,01:47:00,SWA,3,N,N,5.97,375.681,01:48,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,30.0,7.6958952,ft,170.18,in,,in,,30.0,,True,False,False,2761.1175234654925
5060,31.437,0.344,27.388,4.045,18087.346,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.3,,01:47:00,SWA,3,N,N,5.97,375.907,01:48,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,30.0,8.3478624,ft,134.61999999999998,in,,in,,30.0,,True,False,False,3031.388820946499
5070,40.075,0.344,,,18091.391,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,376.336,08:20,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5080,40.082,0.344,,,18131.467,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,378.907,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5090,40.003,0.344,,,18171.549,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,377.437,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5100,40.19,0.344,,,18211.552,Girth Weld,,,,,,,,,,,,,GIRTH WELD,1,,,5.97,374.658,03:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5100,40.19,0.344,39.035,1.155,18250.587,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,1.9,2.8,05:22:00,EXT ML,1,N,N,5.97,371.671,03:08,14.032,CMFL,1025,65000,E.R. WELD,24,1341.6,1506.2,2092.0,1468.9,2040.1,1497.0,2079.1,0.681,1.123,1.0,1.2,150.0,11.897867999999999,ft,48.26,in,71.11999999999999,in,23.0,150.0,gene,True,True,True,4503.034357066778
5110,8.127,0.344,,,18251.742,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,371.582,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5120,40.118,0.344,,,18259.869,Girth Weld,,,,,,,,,,,,,GIRTH WELD,1,,,5.97,371.03,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5120,40.118,0.344,0.738,39.38,18260.607,Metal Loss,External,25.0,0.086,40.0,GENE,20.0,,,,3.1,2.6,05:30:00,EXT ML,1,N,N,5.97,370.983,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,1454.3,2019.9,1375.2,1910.0,1466.7,2037.1,0.705,1.083,1.0,1.2,150.0,0.22494240000000001,ft,78.74,in,66.03999999999999,in,25.0,150.0,gene,True,True,True,-335.9464188238695
5130,40.085,0.344,,,18299.987,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,370.214,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5140,40.075,0.344,,,18340.072,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,371.117,03:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5150,39.987,0.344,,,18380.148,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,374.368,01:12,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5160,40.062,0.344,,,18420.135,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,378.509,08:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5170,40.341,0.344,,,18460.197,Girth Weld,,,,,,,,,,,,,GIRTH WELD,1,,,5.97,384.743,06:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5170,40.341,0.344,35.354,4.984,18495.554,Seam Weld Manufacturing Anomaly,,,,,,,,,,10.1,,06:14:00,SWA,1,N,N,5.97,394.061,06:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,180.0,10.7758992,ft,256.53999999999996,in,,in,,180.0,,True,False,False,4037.925125637333
5180,40.062,0.344,,,18500.538,Girth Weld,,,,,,,,,,,,,GIRTH WELD,1,,,5.97,395.415,01:16,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5180,40.062,0.344,0.837,39.226,18501.375,Metal Loss,External,42.0,0.144,57.0,GENE,20.0,,,,2.7,2.7,06:02:00,EXT ML,1,N,N,5.97,395.641,01:16,30.369,CMFL,1025,65000,E.R. WELD,24,1341.6,1395.2,1937.8,1308.5,1817.4,1449.6,2013.3,0.735,1.041,0.6,1.2,180.0,0.2551176,ft,68.58,in,68.58,in,42.0,180.0,gene,True,True,True,-323.4373685898258
5190,34.787,0.344,,,18540.6,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,409.939,02:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5200,40.082,0.344,,,18575.387,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,425.181,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5210,40.046,0.344,,,18615.469,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,443.778,08:20,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5220,39.918,0.344,,,18655.515,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,464.151,11:44,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5230,40.177,0.344,,,18695.433,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,485.19,01:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5240,40.036,0.344,,,18735.61,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,506.767,12:08,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5250,40.154,0.344,,,18775.646,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,528.554,01:44,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5260,39.99,0.344,,,18815.804,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,550.292,02:20,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5270,35.407,0.344,,,18855.794,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,571.63,02:48,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5270,35.407,0.344,,,18888.635,Attachment,,,,,,,,,,,,06:00:00,ATTACHMENT,0,,,5.97,587.632,02:48,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,180.0,,ft,,in,,in,,180.0,,False,False,False,
5280,12.336,0.5,,,18891.201,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.344/0.500IN,0,,,4.14,588.872,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5280,12.336,0.5,,,18897.297,Bend,,,,,,,,,,,,,BEND-HOT PULLED - 5.7D - 36° LEFT,0,,,4.14,591.058,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5290,40.079,0.344,,,18903.533,Girth Weld,,,,,,,,,,,,,GIRTH WELD NWT 0.500/0.344IN,0,,,5.97,592.753,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5290,40.079,0.344,,,18933.179,AGM,,,,,,,,,,,,,AGM 9 - AT LINE MARKER 3' UPSTREAM OF GATE POST,0,,,5.97,597.007,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5300,40.302,0.344,,,18943.615,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,598.382,09:40,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5310,40.108,0.344,,,18983.917,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,599.46,09:24,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5310,40.108,0.344,,,18989.183,Tap,,,,,,,,,,,,12:00:00,2 IN OFFTAKE-WELDOLET,0,,,5.97,599.204,09:24,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,0.0,,ft,,in,,in,,0.0,,False,False,False,
5320,30.384,0.344,,,19024.026,Girth Weld,,,,,,,,,,,,,GIRTH WELD,5,,,5.97,595.355,11:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5320,30.384,0.344,4.094,26.289,19028.12,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.4,,11:07:00,SWA,5,N,N,5.97,594.806,11:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,330.0,1.2478512000000002,ft,137.16,in,,in,,330.0,,True,False,False,88.09774870593748
5320,30.384,0.344,12.116,18.268,19036.142,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.8,,11:44:00,SWA,5,N,N,5.97,593.433,11:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,330.0,3.6929568,ft,147.32,in,,in,,330.0,,True,False,False,1101.7098797917872
5320,30.384,0.344,15.994,14.39,19040.02,Seam Weld Manufacturing Anomaly,,,,,,,,,,6.4,,11:46:00,SWA,5,N,N,5.97,592.769,11:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,330.0,4.8749712,ft,162.56,in,,in,,330.0,,True,False,False,1591.7108576465523
5320,30.384,0.344,16.654,13.73,19040.679,Seam Weld Manufacturing Anomaly,,,,,,,,,,7.9,,11:43:00,SWA,5,N,N,5.97,592.656,11:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,330.0,5.0761392,ft,200.66,in,,in,,330.0,,True,False,False,1675.1045258735107
5320,30.384,0.344,24.803,5.581,19048.829,Seam Weld Manufacturing Anomaly,,,,,,,,,,10.4,,11:49:00,SWA,5,N,N,5.97,591.261,11:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,330.0,7.5599544000000005,ft,264.15999999999997,in,,in,,330.0,,True,False,False,2704.7636203909115
5330,39.951,0.344,,,19054.409,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,590.306,05:56,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5340,40.272,0.344,,,19094.36,Girth Weld,,,,,,,,,,,,,GIRTH WELD,0,,,5.97,583.524,07:36,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5350,40.016,0.344,,,19134.633,Girth Weld,,,,,,,,,,,,,GIRTH WELD,4,,,5.97,577.162,01:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5350,40.016,0.344,5.643,34.373,19140.276,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.8,,01:07:00,SWA,4,N,N,5.97,576.391,01:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,30.0,1.7199864,ft,147.32,in,,in,,30.0,,True,False,False,283.8201609537536
5350,40.016,0.344,17.694,22.323,19152.326,Seam Weld Manufacturing Anomaly,,,,,,,,,,6.3,,01:09:00,SWA,4,N,N,5.97,574.939,01:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,30.0,5.3931312,ft,160.01999999999998,in,,in,,30.0,,True,False,False,1806.512730352354
5350,40.016,0.344,20.505,19.514,19155.135,Seam Weld Manufacturing Anomaly,,,,,,,,,,11.3,,01:07:00,SWA,4,N,N,5.97,574.601,01:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,30.0,6.249924,ft,287.02,in,,in,,30.0,,True,False,False,2161.6939445735366
5350,40.016,0.344,20.627,19.39,19155.259,Seam Weld Manufacturing Anomaly,,,,,,,,,,11.8,,01:16:00,SWA,4,N,N,5.97,574.586,01:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,30.0,6.2871096,ft,299.72,in,,in,,30.0,,True,False,False,2177.109137791247
5360,40.292,0.344,,,19174.649,Girth Weld,,,,,,,,,,,,,GIRTH WELD,2,,,5.97,572.25,11:20,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,,,ft,,in,,in,,,,False,False,False,
5360,40.292,0.344,19.518,20.778,19194.167,Seam Weld Manufacturing Anomaly,,,,,,,,,,1.9,,11:24:00,SWA,2,N,N,5.97,570.019,11:20,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,330.0,5.9490864000000006,ft,48.26,in,,in,,330.0,,True,False,False,2036.9825043614032
