J. no.,J. len [ft],Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification,distance_m_aligned_to_2007
5010.0,40.13,0.344,,,17820.91,GirthWeld,,,,,,,,,,,0.7,353.38,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5431.813368,ft,,in,,in,,,,False,False,False,5461.06884738147
5020.0,31.82,0.344,,,17861.04,GirthWeld,,,,,,,,,,,0.7,355.21,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5444.044992,ft,,in,,in,,,,False,False,False,5473.3062251992815
5030.0,40.08,0.344,,,17892.86,GirthWeld,,,,,,,,,,,0.7,358.16,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5453.743728,ft,,in,,in,,,,False,False,False,5483.009523533764
5040.0,40.15,0.344,,,17932.93,GirthWeld,,,,,,,,,,,0.7,362.24,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5465.957064,ft,,in,,in,,,,False,False,False,5495.228604748808
5050.0,40.11,0.344,,,17973.09,GirthWeld,,,,,,,,,,,0.7,367.28,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5478.197832000001,ft,,in,,in,,,,False,False,False,5507.475130868004
5060.0,31.32,0.344,,,18013.2,GirthWeld,,,,,,,,,,,0.7,373.27,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5490.423360000001,ft,,in,,in,,,,False,False,False,5519.706409818226
5070.0,40.06,0.344,,,18044.52,GirthWeld,,,,,,,,,,,0.7,376.6,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5499.969696,ft,,in,,in,,,,False,False,False,5529.257236462977
5080.0,39.98,0.344,,,18084.58,GirthWeld,,,,,,,,,,,0.7,379.06,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5512.179984000001,ft,,in,,in,,,,False,False,False,5541.473268244227
5090.0,39.99,0.344,,,18124.56,GirthWeld,,,,,,,,,,,1.0,377.33,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5524.365888,ft,,in,,in,,,,False,False,False,5553.6649045551185
5100.0,40.01,0.344,,,18164.55,GirthWeld,,,,,,,,,,2.0,0.7,374.48,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5536.55484,ft,,in,,in,,,,False,False,False,5565.859590299805
5100.0,,0.344,-38.91,1.1,18203.47,cluster,External,28.0,0.096,,,1.69,6.41,05:52:00,,,0.7,371.46,,,,1160.0,65000.0,,1342.0,1438.14,1996.82,1504.49,2088.95,1509.91,2096.47,0.77,1.8,150.0,5548.4176560000005,ft,42.925999999999995,in,162.814,in,28.0,150.0,,True,True,False,5577.727986628469
5100.0,,0.344,-39.06,0.95,18203.62,metal loss,External,12.0,0.041,,,0.67,0.75,05:56:00,,,0.7,371.45,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,5548.463376,ft,17.018,in,19.049999999999997,in,12.0,150.0,,True,True,False,5577.7737281353875
5110.0,8.21,0.344,,,18204.57,GirthWeld,,,,,,,,,,,0.7,371.39,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5548.752936,ft,,in,,in,,,,False,False,False,5578.063424345876
5120.0,39.98,0.344,,,18212.77,GirthWeld,,,,,,,,,,2.0,0.7,370.87,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5551.252296000001,ft,,in,,in,,,,False,False,False,5580.563960057466
5120.0,,0.344,-0.74,39.24,18213.52,metal loss,External,10.0,0.034,,,1.5,2.28,05:04:00,,,0.7,370.82,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,5551.480896,ft,38.099999999999994,in,57.91199999999999,in,10.0,150.0,,True,True,False,5580.792667592062
5120.0,,0.344,-0.81,39.17,18213.58,metal loss,External,31.0,0.107,,,0.83,2.48,06:05:00,,,0.7,370.82,,MFL-A/XT,,1160.0,65000.0,,1342.0,1464.13,2032.91,1534.75,2130.96,1536.32,2133.14,0.76,1.84,180.0,5551.499184000001,ft,21.081999999999997,in,62.992,in,31.0,180.0,,True,True,False,5580.81096419483
5130.0,39.97,0.344,,,18252.75,GirthWeld,,,,,,,,,,,0.7,370.17,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5563.4382000000005,ft,,in,,in,,,,False,False,False,5592.755596368358
5140.0,39.91,0.344,,,18292.72,GirthWeld,,,,,,,,,,,0.7,371.18,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5575.621056000001,ft,,in,,in,,,,False,False,False,5604.944183245456
5150.0,39.86,0.344,,,18332.63,GirthWeld,,,,,,,,,,,0.7,374.58,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5587.785624000001,ft,,in,,in,,,,False,False,False,5617.114473519786
5160.0,40.0,0.344,,,18372.49,GirthWeld,,,,,,,,,,,0.7,378.77,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5599.9349520000005,ft,,in,,in,,,,False,False,False,5629.269516625142
5170.0,40.0,0.344,,,18412.49,GirthWeld,,,,,,,,,,,0.7,385.14,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5612.1269520000005,ft,,in,,in,,,,False,False,False,5641.467251803624
5180.0,39.91,0.344,,,18452.49,GirthWeld,,,,,,,,,,1.0,0.7,396.09,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5624.3189520000005,ft,,in,,in,,,,False,False,False,5653.664986982106
5180.0,,0.344,-0.87,39.04,18453.36,metal loss,External,23.0,0.079,,,0.55,1.1,06:36:00,,,0.7,396.38,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.35,2044.32,1544.24,2144.15,1544.57,2144.59,0.75,1.85,180.0,5624.584128,ft,13.97,in,27.94,in,23.0,180.0,,True,True,False,5653.930287722238
5190.0,34.54,0.344,,,18492.4,GirthWeld,,,,,,,,,,,1.0,410.86,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5636.483520000001,ft,,in,,in,,,,False,False,False,5665.835277256436
5200.0,40.03,0.344,,,18526.94,GirthWeld,,,,,,,,,,,0.7,426.29,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5647.011312,ft,,in,,in,,,,False,False,False,5676.368021583054
5210.0,39.9,0.344,,,18566.97,GirthWeld,,,,,,,,,,,0.7,444.94,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5659.212456,ft,,in,,in,,,,False,False,False,5688.57490506292
5220.0,39.89,0.344,,,18606.87,GirthWeld,,,,,,,,,,,0.7,465.43,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5671.373976,ft,,in,,in,,,,False,False,False,5700.742145903455
5230.0,40.0,0.344,,,18646.76,GirthWeld,,,,,,,,,,,0.7,486.51,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5683.532448,ft,,in,,in,,,,False,False,False,5712.906337310196
5240.0,39.99,0.344,,,18686.76,GirthWeld,,,,,,,,,,,0.7,508.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5695.724448,ft,,in,,in,,,,False,False,False,5725.104072488678
5250.0,40.05,0.344,,,18726.75,GirthWeld,,,,,,,,,,,0.7,529.91,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5707.9134,ft,,in,,in,,,,False,False,False,5737.298758233365
5260.0,40.03,0.344,,,18766.8,GirthWeld,,,,,,,,,,,0.7,551.64,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5720.12064,ft,,in,,in,,,,False,False,False,5749.51174058082
5270.0,35.32,0.344,,,18806.83,GirthWeld,,,,,,,,,,4.0,0.7,572.96,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5732.321784000001,ft,,in,,in,,,,False,False,False,5761.718624060685
5270.0,,,,,18839.54,Attachment,,,,,,,,06:00:00,Repair Marker,,,589.0,,,,,,,,,,,,,,,,180.0,5742.291792000001,ft,,in,,in,,180.0,,True,False,False,5771.6933220028895
5270.0,,0.344,-35.01,0.31,18841.84,metal loss,External,10.0,0.034,,,1.38,4.45,11:42:00,near girth weld Recoat,,0.7,589.95,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,330.0,5742.992832,ft,35.05199999999999,in,113.03,in,10.0,330.0,,True,True,False,5772.394691775651
5270.0,,0.344,-35.05,0.27,18841.88,cluster,External,54.0,0.186,,,2.53,18.14,06:17:00,affecting girth weld Recoat,,0.7,589.97,,,,1160.0,65000.0,,1342.0,1318.15,1830.22,1345.19,1867.76,1421.64,1973.91,0.86,1.61,180.0,5743.005024000001,ft,64.26199999999999,in,460.756,in,54.0,180.0,,True,True,False,5772.40688951083
5270.0,,0.344,-35.19,0.13,18842.02,metal loss,External,12.0,0.041,,,0.63,5.35,12:03:00,near girth weld Recoat,,0.7,590.03,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,0.0,5743.0476960000005,ft,16.002,in,135.89,in,12.0,0.0,,True,True,False,5772.449581583955
5270.0,,0.344,-35.2,0.12,18842.02,metal loss,External,18.0,0.062,,,0.47,1.22,11:38:00,near girth weld Recoat,,0.7,590.03,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.99,2046.6,,,,,,,330.0,5743.0476960000005,ft,11.937999999999999,in,30.987999999999996,in,18.0,330.0,,True,True,False,5772.449581583955
5280.0,11.82,0.5,,,18842.14,GirthWeld,,,,,,,,,,,0.7,590.08,,,,1160.0,60000.0,,1800.0,,,,,,,,,,5743.084272,ft,,in,,in,,,,False,False,False,5772.486174789489
5280.0,,,,,18848.15,Bend,,,,,,,,,5.7D -  36° - Left,,,592.34,,,,,,,,,,,,,,,,,5744.916120000001,ft,,in,,in,,,,False,False,False,5774.318884500057
5290.0,40.35,0.344,,,18853.96,GirthWeld,,,,,,,,,,,0.7,593.43,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5746.687008,ft,,in,,in,,,,False,False,False,5776.0906055347305
5290.0,,,,,18883.46,AGM,,,,,,,,,AGM#7 AT PLM/ ON FENCE,,,597.54,,,,,,,,,,,,,,,,,5755.678608,ft,,in,,in,,,,False,False,False,5785.086435228861
5300.0,40.18,0.344,,,18894.32,GirthWeld,,,,,,,,,,,0.7,598.71,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5758.988736,ft,,in,,in,,,,False,False,False,5788.398120329819
5310.0,40.14,0.344,,,18934.5,GirthWeld,,,,,,,,,,,1.0,599.51,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5771.2356,ft,,in,,in,,,,False,False,False,5800.650745316603
5310.0,,,,,18939.78,Tap,,,,,,,,12:00:00,,,,599.2,,,,,,,,,,,,,,,,0.0,5772.8449439999995,ft,,in,,in,,0.0,,True,False,False,5802.260846360163
5320.0,30.26,0.344,,,18974.64,GirthWeld,,,,,,,,,,,1.0,595.08,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5783.4702720000005,ft,,in,,in,,,,False,False,False,5812.89117256821
5330.0,39.95,0.344,,,19004.9,GirthWeld,,,,,,,,,,,0.7,589.88,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5792.693520000001,ft,,in,,in,,,,False,False,False,5822.118759230732
5340.0,40.03,0.344,,,19044.85,GirthWeld,,,,,,,,,,,0.7,583.1,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5804.87028,ft,,in,,in,,,,False,False,False,5834.30124724024
5350.0,40.06,0.344,,,19084.88,GirthWeld,,,,,,,,,,,0.7,576.77,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5817.071424000001,ft,,in,,in,,,,False,False,False,5846.508130720106
5360.0,40.07,0.344,,,19124.93,GirthWeld,,,,,,,,,,,0.7,571.95,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5829.278664,ft,,in,,in,,,,False,False,False,5858.7211130675605
5370.0,39.99,0.344,,,19165.0,GirthWeld,,,,,,,,,,,0.7,567.38,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5841.492,ft,,in,,in,,,,False,False,False,5870.940194282604
5380.0,39.42,0.344,,,19205.0,GirthWeld,,,,,,,,,,,1.0,563.13,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5853.684,ft,,in,,in,,,,False,False,False,5883.137929461086
5390.0,40.03,0.344,,,19244.41,GirthWeld,,,,,,,,,,,0.7,558.47,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5865.696168,ft,,in,,in,,,,False,False,False,5895.155748045685
5400.0,39.93,0.344,,,19284.44,GirthWeld,,,,,,,,,,2.0,0.7,552.56,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5877.897312,ft,,in,,in,,,,False,False,False,5907.362631525551
5400.0,,0.344,-39.07,0.86,19323.51,metal loss,External,16.0,0.055,,,0.63,2.21,05:19:00,,,0.7,545.43,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.97,2045.19,,,,,,,150.0,5889.805848,ft,16.002,in,56.13399999999999,in,16.0,150.0,,True,True,False,5919.276769361132
5400.0,,0.344,-39.79,0.14,19324.23,metal loss,External,11.0,0.038,,,0.47,0.91,07:42:00,near girth weld,,0.7,545.29,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,210.0,5890.025304,ft,11.937999999999999,in,23.114,in,11.0,210.0,,True,True,False,5919.496328594344
5410.0,39.94,0.344,,,19324.37,GirthWeld,,,,,,,,,,,0.7,545.26,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5890.067976,ft,,in,,in,,,,False,False,False,5919.539020667469
5420.0,39.98,0.344,,,19364.31,GirthWeld,,,,,,,,,,,0.7,537.88,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5902.241688000001,ft,,in,,in,,,,False,False,False,5931.718459243184
5430.0,39.98,0.344,,,19404.28,GirthWeld,,,,,,,,,,,0.7,530.72,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5914.4245439999995,ft,,in,,in,,,,False,False,False,5943.907046120281
5440.0,40.0,0.344,,,19444.27,GirthWeld,,,,,,,,,,,0.7,523.48,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5926.613496000001,ft,,in,,in,,,,False,False,False,5956.101731864969
5450.0,40.02,0.344,,,19484.27,GirthWeld,,,,,,,,,,,0.7,516.01,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5938.805496000001,ft,,in,,in,,,,False,False,False,5968.299467043451
5460.0,39.92,0.344,,,19524.29,GirthWeld,,,,,,,,,,,0.7,508.05,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5951.003592000001,ft,,in,,in,,,,False,False,False,5980.503301089521
5470.0,40.03,0.344,,,19564.2,GirthWeld,,,,,,,,,,,0.7,499.47,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5963.16816,ft,,in,,in,,,,False,False,False,5992.67359136385
5480.0,40.05,0.344,,,19604.24,GirthWeld,,,,,,,,,,,0.7,490.39,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5975.372352000001,ft,,in,,in,,,,False,False,False,6004.883524277512
5490.0,39.99,0.344,,,19644.28,GirthWeld,,,,,,,,,,,0.7,480.99,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5987.576544,ft,,in,,in,,,,False,False,False,6017.09345719117
5500.0,40.0,0.344,,,19684.27,GirthWeld,,,,,,,,,,,0.7,471.57,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5999.765496,ft,,in,,in,,,,False,False,False,6029.288142935858
5510.0,39.98,0.344,,,19724.27,GirthWeld,,,,,,,,,,,0.7,462.25,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6011.957496,ft,,in,,in,,,,False,False,False,6041.485878114339
5520.0,39.91,0.344,,,19764.25,GirthWeld,,,,,,,,,,,0.7,453.05,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6024.1434,ft,,in,,in,,,,False,False,False,6053.6775144252315
5530.0,40.03,0.344,,,19804.16,GirthWeld,,,,,,,,,,,0.7,444.97,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6036.307968,ft,,in,,in,,,,False,False,False,6065.8478046995615
5540.0,39.98,0.344,,,19844.19,GirthWeld,,,,,,,,,,,0.7,437.03,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6048.509112,ft,,in,,in,,,,False,False,False,6078.054688179427
5550.0,40.06,0.344,,,19884.17,GirthWeld,,,,,,,,,,,0.7,429.61,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6060.695016,ft,,in,,in,,,,False,False,False,6090.246324490319
5560.0,39.93,0.344,,,19924.23,GirthWeld,,,,,,,,,,,0.7,423.32,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6072.905304,ft,,in,,in,,,,False,False,False,6102.462356271569
5570.0,39.89,0.344,,,19964.16,GirthWeld,,,,,,,,,,,0.7,417.24,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6085.075968,ft,,in,,in,,,,False,False,False,6114.638745413488
5580.0,40.03,0.344,,,20004.05,GirthWeld,,,,,,,,,,,0.7,411.13,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6097.23444,ft,,in,,in,,,,False,False,False,6126.80293682023
5590.0,40.0,0.344,,,20044.08,GirthWeld,,,,,,,,,,,0.7,404.02,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6109.435584000001,ft,,in,,in,,,,False,False,False,6139.009820300095
5600.0,40.06,0.344,,,20084.08,GirthWeld,,,,,,,,,,,0.7,396.15,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6121.627584000001,ft,,in,,in,,,,False,False,False,6151.207555478577
5610.0,40.19,0.344,,,20124.14,GirthWeld,,,,,,,,,,,0.7,388.28,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6133.837872,ft,,in,,in,,,,False,False,False,6163.423587259826
5620.0,40.15,0.344,,,20164.33,GirthWeld,,,,,,,,,,1.0,0.7,379.37,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6146.087784000001,ft,,in,,in,,,,False,False,False,6175.679261680406
5620.0,,0.344,-39.29,0.86,20203.62,metal loss,External,10.0,0.034,,,0.43,1.34,05:48:00,,,0.7,367.68,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,6158.063376,ft,10.921999999999999,in,34.036,in,10.0,150.0,,True,True,False,6187.660487059468
5630.0,40.05,0.344,,,20204.48,GirthWeld,,,,,,,,,,,0.7,367.41,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6158.325504,ft,,in,,in,,,,False,False,False,6187.922738365806
5640.0,39.94,0.344,,,20244.53,GirthWeld,,,,,,,,,,,0.7,354.46,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6170.532744,ft,,in,,in,,,,False,False,False,6200.1357207132605
5650.0,40.07,0.344,,,20284.47,GirthWeld,,,,,,,,,,,0.7,341.21,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6182.706456000001,ft,,in,,in,,,,False,False,False,6212.315159288975
5660.0,40.12,0.344,,,20324.54,GirthWeld,,,,,,,,,,2.0,0.7,328.28,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6194.919792000001,ft,,in,,in,,,,False,False,False,6224.534240504019
5660.0,,0.344,-39.09,1.04,20363.63,cluster,External,34.0,0.117,,,1.98,1.68,06:41:00,,,0.7,316.04,,,,1160.0,65000.0,,1342.0,1415.09,1964.81,1476.02,2049.42,1510.75,2097.64,0.79,1.77,180.0,6206.834424000001,ft,50.291999999999994,in,42.672,in,34.0,180.0,,True,True,False,6236.45447720719
5660.0,,0.344,-39.28,0.84,20363.82,metal loss,External,25.0,0.086,,,0.75,1.89,07:17:00,,,0.7,315.98,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.39,2038.82,1539.78,2137.94,1540.54,2139.0,0.75,1.84,210.0,6206.892336,ft,19.049999999999997,in,48.00599999999999,in,25.0,210.0,,True,True,False,6236.512416449287
5670.0,40.23,0.344,,,20364.66,GirthWeld,,,,,,,,,,,0.7,315.72,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6207.148368,ft,,in,,in,,,,False,False,False,6236.768568888036
5680.0,38.7,0.344,,,20404.89,GirthWeld,,,,,,,,,,1.0,0.7,303.21,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6219.4104720000005,ft,,in,,in,,,,False,False,False,6249.036441043794
5680.0,,0.344,-37.59,1.11,20442.48,metal loss,External,19.0,0.065,,,1.22,2.09,05:54:00,,,0.7,290.5,,MFL-A/XT,,1160.0,65000.0,,1342.0,1462.3,2030.37,,,,,,,150.0,6230.867904000001,ft,30.987999999999996,in,53.08599999999999,in,19.0,150.0,,True,True,False,6260.499262677772
5690.0,40.08,0.344,,,20443.59,GirthWeld,,,,,,,,,,,0.7,290.12,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6231.206232,ft,,in,,in,,,,False,False,False,6260.837749828975
5700.0,40.03,0.344,,,20483.66,GirthWeld,,,,,,,,,,,0.7,276.4,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6243.419568,ft,,in,,in,,,,False,False,False,6273.0568310440185
5710.0,40.08,0.344,,,20523.69,GirthWeld,,,,,,,,,,,1.0,262.49,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6255.620712,ft,,in,,in,,,,False,False,False,6285.263714523884
5720.0,40.1,0.344,,,20563.77,GirthWeld,,,,,,,,,,,1.0,247.71,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6267.837096,ft,,in,,in,,,,False,False,False,6297.485845172722
5730.0,40.06,0.344,,,20603.86,GirthWeld,,,,,,,,,,,0.7,232.69,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6280.056528,ft,,in,,in,,,,False,False,False,6309.711025255356
5740.0,39.99,0.344,,,20643.92,GirthWeld,,,,,,,,,,,0.7,217.64,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6292.266815999999,ft,,in,,in,,,,False,False,False,6321.927057036604
5750.0,40.08,0.344,,,20683.91,GirthWeld,,,,,,,,,,,0.7,202.72,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6304.455768000001,ft,,in,,in,,,,False,False,False,6334.121742781293
5760.0,40.12,0.344,,,20723.99,GirthWeld,,,,,,,,,,,0.7,188.2,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6316.672152000001,ft,,in,,in,,,,False,False,False,6346.343873430132
5770.0,40.1,0.344,,,20764.11,GirthWeld,,,,,,,,,,,0.7,174.93,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6328.9007280000005,ft,,in,,in,,,,False,False,False,6358.578201814148
5780.0,40.26,0.344,,,20804.2,GirthWeld,,,,,,,,,,,0.7,163.1,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6341.12016,ft,,in,,in,,,,False,False,False,6370.8033818967815
5790.0,11.71,0.344,,,20844.46,GirthWeld,,,,,,,,,,,0.7,156.84,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6353.391408,ft,,in,,in,,,,False,False,False,6383.080402353923
5800.0,40.1,0.344,,,20856.18,GirthWeld,,,,,,,,,,,0.7,156.28,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6356.963664000001,ft,,in,,in,,,,False,False,False,6386.654338761218
5810.0,39.98,0.344,,,20896.27,GirthWeld,,,,,,,,,,,0.7,154.51,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6369.183096000001,ft,,in,,in,,,,False,False,False,6398.879518843852
5820.0,33.42,0.344,,,20936.25,GirthWeld,,,,,,,,,,,0.7,153.12,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6381.369000000001,ft,,in,,in,,,,False,False,False,6411.071155154744
5830.0,40.07,0.344,,,20969.67,GirthWeld,,,,,,,,,,,0.7,151.78,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6391.555416,ft,,in,,in,,,,False,False,False,6421.262362896365
5840.0,40.02,0.344,,,21009.74,GirthWeld,,,,,,,,,,1.0,0.7,150.25,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6403.768752000001,ft,,in,,in,,,,False,False,False,6433.4814441114095
5840.0,,0.344,-39.16,0.86,21048.9,metal loss,External,25.0,0.086,,,0.55,1.73,06:11:00,,,0.7,148.6,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.95,2043.76,1543.77,2143.49,1544.19,2144.07,0.75,1.85,180.0,6415.704720000001,ft,13.97,in,43.942,in,25.0,180.0,,True,True,False,6445.423026851143
5850.0,20.98,0.344,,,21049.76,GirthWeld,,,,,,,,,,,0.7,148.56,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6415.966848,ft,,in,,in,,,,False,False,False,6445.68527815748
5860.0,40.11,0.344,,,21070.74,GirthWeld,,,,,,,,,,,0.7,147.42,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6422.361552000001,ft,,in,,in,,,,False,False,False,6452.082990258595
5870.0,40.01,0.344,,,21110.85,GirthWeld,,,,,,,,,,2.0,0.7,145.76,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6434.58708,ft,,in,,in,,,,False,False,False,6464.314269208816
5870.0,,0.344,-0.04,39.97,21110.89,Girth Weld Anomaly,,,,,,,,03:22:00,affecting girth weld,,0.7,145.76,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,90.0,6434.599272,ft,,in,,in,,90.0,,True,False,False,6464.326466943995
5870.0,,0.344,-39.16,0.85,21150.01,metal loss,External,11.0,0.038,,,0.47,0.98,06:32:00,,,0.7,144.88,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,180.0,6446.523048,ft,11.937999999999999,in,24.892,in,11.0,180.0,,True,True,False,6476.255851948549
5880.0,40.1,0.344,,,21150.86,GirthWeld,,,,,,,,,,,0.7,144.86,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6446.782128000001,ft,,in,,in,,,,False,False,False,6476.515053821093
5890.0,40.08,0.344,,,21190.97,GirthWeld,,,,,,,,,,,0.7,144.15,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6459.007656000001,ft,,in,,in,,,,False,False,False,6488.746332771315
5900.0,40.01,0.344,,,21231.05,GirthWeld,,,,,,,,,,,0.7,143.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6471.22404,ft,,in,,in,,,,False,False,False,6500.968463420153
5900.0,,,,,21254.3,AGM,,,,,,,,,AGM#8 AT A/M LF 4/ ON ROW,,,142.3,,,,,,,,,,,,,,,,,6478.31064,ft,,in,,in,,,,False,False,False,6508.058396992645
5910.0,40.05,0.344,,,21271.06,GirthWeld,,,,,,,,,,2.0,0.7,141.76,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6483.419088000001,ft,,in,,in,,,,False,False,False,6513.16924803243
5910.0,,,,,21310.13,Attachment,,,,,,,,06:00:00,Repair Marker 2012 Dig #12 Recoat,,,140.75,,,,,,,,,,,,,,,,180.0,6495.3276240000005,ft,,in,,in,,180.0,,True,False,False,6525.083385868012
5910.0,,0.344,-39.18,0.87,21310.24,metal loss,External,32.0,0.11,,,0.75,2.32,05:29:00,Recoat,,0.7,140.75,,MFL-A/XT,,1160.0,65000.0,,1342.0,1465.95,2035.43,1536.81,2133.82,1538.18,2135.73,0.75,1.84,150.0,6495.361152,ft,19.049999999999997,in,58.92799999999999,in,32.0,150.0,,True,True,False,6525.116929639752
