J. no.,J. len [ft],t [in],to u/s w. [ft],log dist. [ft],Height [ft],event,depth [%],ID Reduction [%],length [in],width [in],P2 Burst / MOP,o'clock,internal,comment,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification
,,0.344,-26.09,7638.8,815.5944,Cluster,11.0,,3.06,3.46,,09:38:00,NO,,270.0,2328.3062400000003,ft,77.724,in,87.884,in,11.0,270.0,cluster,True,True,True
,,0.344,-38.53,7651.24,815.0541,Cluster,11.0,,3.41,1.38,,06:27:00,NO,,180.0,2332.097952,ft,86.614,in,35.05199999999999,in,11.0,180.0,cluster,True,True,True
2180.0,39.94,0.344,,7652.58,814.9942,Girth Weld,,,,,,,,,,2332.5063840000003,ft,,in,,in,,,weld,False,False,True
2190.0,39.87,0.344,,7692.53,813.2727,Girth Weld,,,,,,,,,,2344.683144,ft,,in,,in,,,weld,False,False,True
2200.0,39.9,0.344,,7732.39,811.7682,Girth Weld,,,,,,,,,,2356.832472,ft,,in,,in,,,weld,False,False,True
2210.0,10.89,0.344,,7772.29,810.3112,Girth Weld,,,,,,,,,,2368.993992,ft,,in,,in,,,weld,False,False,True
2220.0,39.94,0.344,,7783.18,810.0367,Girth Weld,,,,,,,,,,2372.3132640000003,ft,,in,,in,,,weld,False,False,True
2230.0,39.99,0.344,,7823.12,809.2136,Girth Weld,,,,,,,,,,2384.486976,ft,,in,,in,,,weld,False,False,True
2240.0,39.94,0.344,,7863.12,808.5754,Girth Weld,,,,,,,,,,2396.678976,ft,,in,,in,,,weld,False,False,True
2250.0,39.65,0.344,,7903.06,807.9884,Girth Weld,,,,,,,,,,2408.8526880000004,ft,,in,,in,,,weld,False,False,True
2260.0,39.89,0.344,,7942.72,807.2028,Girth Weld,,,,,,,,,,2420.941056,ft,,in,,in,,,weld,False,False,True
2270.0,39.89,0.344,,7982.61,806.5524,Girth Weld,,,,,,,,,,2433.099528,ft,,in,,in,,,weld,False,False,True
2280.0,39.95,0.344,,8022.5,806.4375,Girth Weld,,,,,,,,,,2445.2580000000003,ft,,in,,in,,,weld,False,False,True
2290.0,39.99,0.344,,8062.45,807.2133,Girth Weld,,,,,,,,,,2457.43476,ft,,in,,in,,,weld,False,False,True
2300.0,39.99,0.344,,8102.44,808.5642,Girth Weld,,,,,,,,,,2469.623712,ft,,in,,in,,,weld,False,False,True
2310.0,39.99,0.344,,8142.43,809.9439,Girth Weld,,,,,,,,,,2481.812664,ft,,in,,in,,,weld,False,False,True
2320.0,39.93,0.344,,8182.43,811.2744,Girth Weld,,,,,,,,,,2494.004664,ft,,in,,in,,,weld,False,False,True
2330.0,39.95,0.344,,8222.36,812.5486,Girth Weld,,,,,,,,,,2506.1753280000003,ft,,in,,in,,,weld,False,False,True
2340.0,40.01,0.344,,8262.31,813.6609,Girth Weld,,,,,,,,,,2518.352088,ft,,in,,in,,,weld,False,False,True
2350.0,40.0,0.344,,8302.32,814.5975,Girth Weld,,,,,,,,,,2530.547136,ft,,in,,in,,,weld,False,False,True
2360.0,39.94,0.344,,8342.32,815.1418,Girth Weld,,,,,,,,,,2542.739136,ft,,in,,in,,,weld,False,False,True
2370.0,40.05,0.344,,8382.27,815.3629,Girth Weld,,,,,,,,,,2554.9158960000004,ft,,in,,in,,,weld,False,False,True
,,0.344,-39.13,8421.4,815.445,metal loss,11.0,,0.87,1.1,,06:52:00,NO,,180.0,2566.84272,ft,22.098,in,27.94,in,11.0,180.0,corrosion,True,True,True
2380.0,25.12,0.344,,8422.32,815.4437,Girth Weld,,,,,,,,,,2567.123136,ft,,in,,in,,,weld,False,False,True
2390.0,40.0,0.344,,8447.44,814.7974,Girth Weld,,,,,,,,,,2574.7797120000005,ft,,in,,in,,,weld,False,False,True
2400.0,40.03,0.344,,8487.44,812.2403,Girth Weld,,,,,,,,,,2586.9717120000005,ft,,in,,in,,,weld,False,False,True
2410.0,39.98,0.344,,8527.47,810.0484,Girth Weld,,,,,,,,,,2599.172856,ft,,in,,in,,,weld,False,False,True
2420.0,39.96,0.344,,8567.45,808.6726,Girth Weld,,,,,,,,,,2611.3587600000005,ft,,in,,in,,,weld,False,False,True
2430.0,39.9,0.344,,8607.42,808.114,Girth Weld,,,,,,,,,,2623.541616,ft,,in,,in,,,weld,False,False,True
2440.0,38.73,0.344,,8647.32,807.7303,Girth Weld,,,,,,,,,,2635.703136,ft,,in,,in,,,weld,False,False,True
2450.0,39.92,0.344,,8686.05,807.5471,Girth Weld,,,,,,,,,,2647.5080399999997,ft,,in,,in,,,weld,False,False,True
,,0.344,-38.95,8725.0,807.2579,Cluster,10.0,,3.94,4.61,,04:50:00,NO,,120.0,2659.38,ft,100.076,in,117.09400000000001,in,10.0,120.0,cluster,True,True,True
2460.0,39.92,0.344,,8725.97,807.2478,Girth Weld,,,,,,,,,,2659.675656,ft,,in,,in,,,weld,False,False,True
2470.0,39.93,0.344,,8765.89,807.0731,Girth Weld,,,,,,,,,,2671.843272,ft,,in,,in,,,weld,False,False,True
2480.0,39.88,0.344,,8805.81,807.2022,Girth Weld,,,,,,,,,,2684.010888,ft,,in,,in,,,weld,False,False,True
2490.0,39.94,0.344,,8845.69,807.3927,Girth Weld,,,,,,,,,,2696.1663120000003,ft,,in,,in,,,weld,False,False,True
2500.0,39.92,0.344,,8885.64,807.6392,Girth Weld,,,,,,,,,,2708.343072,ft,,in,,in,,,weld,False,False,True
,,0.344,-3.72,8889.36,807.6581,metal loss-manufacturing anomaly,13.0,,0.47,0.71,,10:52:00,,,300.0,2709.4769280000005,ft,11.937999999999999,in,18.034,in,13.0,300.0,corrosion,True,True,True
,,0.344,-4.23,8889.87,807.6607,metal loss-manufacturing anomaly,14.0,,1.61,0.71,,07:07:00,,,210.0,2709.6323760000005,ft,40.894,in,18.034,in,14.0,210.0,corrosion,True,True,True
2510.0,37.76,0.344,,8925.56,807.9329,Girth Weld,,,,,,,,,,2720.510688,ft,,in,,in,,,weld,False,False,True
2520.0,40.08,0.344,,8963.32,808.0802,Girth Weld,,,,,,,,,,2732.019936,ft,,in,,in,,,weld,False,False,True
2530.0,40.0,0.344,,9003.4,808.0476,Girth Weld,,,,,,,,,,2744.23632,ft,,in,,in,,,weld,False,False,True
2540.0,39.98,0.344,,9043.4,806.762,Girth Weld,,,,,,,,,,2756.42832,ft,,in,,in,,,weld,False,False,True
2550.0,39.97,0.344,,9083.38,802.8685,Girth Weld,,,,,,,,,,2768.614224,ft,,in,,in,,,weld,False,False,True
2560.0,39.94,0.344,,9123.35,798.7699,Girth Weld,,,,,,,,,,2780.7970800000003,ft,,in,,in,,,weld,False,False,True
2570.0,39.94,0.344,,9163.29,795.0676,Girth Weld,,,,,,,,,,2792.9707920000005,ft,,in,,in,,,weld,False,False,True
2580.0,39.97,0.344,,9203.22,791.9365,Girth Weld,,,,,,,,,,2805.141456,ft,,in,,in,,,weld,False,False,True
2590.0,40.02,0.344,,9243.19,788.9919,Girth Weld,,,,,,,,,,2817.324312,ft,,in,,in,,,weld,False,False,True
2600.0,40.06,0.344,,9283.21,786.8014,Girth Weld,,,,,,,,,,2829.522408,ft,,in,,in,,,weld,False,False,True
,,,,9308.18,786.278,Tap,,,,,,12:00:00,,,0.0,2837.133264,ft,,in,,in,,0.0,tap,True,False,True
2610.0,40.05,0.344,,9323.26,786.262,Girth Weld,,,,,,,,,,2841.729648,ft,,in,,in,,,weld,False,False,True
2620.0,39.91,0.344,,9363.32,785.4457,Girth Weld,,,,,,,,,,2853.939936,ft,,in,,in,,,weld,False,False,True
2630.0,11.48,0.5,,9403.23,782.2962,Girth Weld,,,,,,,,"0.500""",,2866.104504,ft,,in,,in,,,weld,False,False,True
,,,,9408.73,781.8069,Bend,,,,,,,,6.0D - 32° - Sag,,2867.780904,ft,,in,,in,,,bend,False,False,True
2640.0,40.06,0.344,,9414.71,781.277,Girth Weld,,,,,,,,"0.344""",,2869.603608,ft,,in,,in,,,weld,False,False,True
2650.0,16.85,0.344,,9454.77,778.5411,Girth Weld,,,,,,,,,,2881.813896,ft,,in,,in,,,weld,False,False,True
2660.0,20.51,0.344,,9471.61,780.3274,Girth Weld,,,,,,,,,,2886.9467280000003,ft,,in,,in,,,weld,False,False,True
,,0.344,-1.44,9473.05,780.4636,metal loss,10.0,,0.71,0.59,,05:15:00,YES,,150.0,2887.38564,ft,18.034,in,14.985999999999999,in,10.0,150.0,corrosion,True,True,True
2670.0,40.1,0.344,,9492.12,781.8155,Girth Weld,,,,,,,,,,2893.1981760000003,ft,,in,,in,,,weld,False,False,True
2680.0,40.07,0.344,,9532.22,783.5125,Girth Weld,,,,,,,,,,2905.420656,ft,,in,,in,,,weld,False,False,True
2690.0,40.02,0.344,,9572.29,787.0344,Girth Weld,,,,,,,,,,2917.6339920000005,ft,,in,,in,,,weld,False,False,True
2700.0,40.02,0.344,,9612.32,791.9578,Girth Weld,,,,,,,,,,2929.835136,ft,,in,,in,,,weld,False,False,True
2710.0,36.59,0.344,,9652.34,798.4054,Girth Weld,,,,,,,,,,2942.033232,ft,,in,,in,,,weld,False,False,True
2720.0,40.05,0.344,,9688.93,804.5102,Girth Weld,,,,,,,,,,2953.185864,ft,,in,,in,,,weld,False,False,True
2730.0,40.0,0.344,,9728.98,811.5882,Girth Weld,,,,,,,,,,2965.393104,ft,,in,,in,,,weld,False,False,True
2740.0,8.37,0.5,,9768.99,818.5523,Girth Weld,,,,,,,,"0.500""",,2977.5881520000003,ft,,in,,in,,,weld,False,False,True
,,,,9773.11,819.2255,Bend,,,,,,,,5.8D - 20° - Over,,2978.8439280000002,ft,,in,,in,,,bend,False,False,True
2750.0,14.99,0.344,,9777.36,819.9203,Girth Weld,,,,,,,,"0.344""",,2980.139328,ft,,in,,in,,,weld,False,False,True
2760.0,40.0,0.344,,9792.35,822.3859,Girth Weld,,,,,,,,,,2984.7082800000003,ft,,in,,in,,,weld,False,False,True
2770.0,37.65,0.344,,9832.35,826.7875,Girth Weld,,,,,,,,,,2996.9002800000003,ft,,in,,in,,,weld,False,False,True
2780.0,40.01,0.344,,9869.99,828.1032,Girth Weld,,,,,,,,,,3008.372952,ft,,in,,in,,,weld,False,False,True
2790.0,39.99,0.344,,9910.0,828.8316,Girth Weld,,,,,,,,,,3020.568,ft,,in,,in,,,weld,False,False,True
2800.0,39.98,0.344,,9949.99,829.2074,Girth Weld,,,,,,,,,,3032.756952,ft,,in,,in,,,weld,False,False,True
2810.0,40.02,0.344,,9989.97,829.1495,Girth Weld,,,,,,,,,,3044.942856,ft,,in,,in,,,weld,False,False,True
2820.0,40.24,0.344,,10029.99,829.1206,Girth Weld,,,,,,,,,,3057.140952,ft,,in,,in,,,weld,False,False,True
2830.0,40.25,0.344,,10070.24,829.2361,Girth Weld,,,,,,,,,,3069.409152,ft,,in,,in,,,weld,False,False,True
2840.0,13.44,0.344,,10110.48,829.17,Girth Weld,,,,,,,,,,3081.674304,ft,,in,,in,,,weld,False,False,True
2850.0,39.98,0.344,,10123.92,829.0158,Girth Weld,,,,,,,,,,3085.770816,ft,,in,,in,,,weld,False,False,True
2860.0,40.04,0.344,,10163.9,827.9683,Girth Weld,,,,,,,,,,3097.95672,ft,,in,,in,,,weld,False,False,True
,,0.344,-38.82,10202.72,826.6514,Cluster,13.0,,2.65,3.81,,07:11:00,NO,,210.0,3109.789056,ft,67.30999999999999,in,96.774,in,13.0,210.0,cluster,True,True,True
2870.0,40.03,0.344,,10203.94,826.612,Girth Weld,,,,,,,,,,3110.1609120000003,ft,,in,,in,,,weld,False,False,True
2880.0,40.05,0.344,,10243.98,825.5744,Girth Weld,,,,,,,,,,3122.365104,ft,,in,,in,,,weld,False,False,True
2890.0,40.01,0.344,,10284.03,824.9994,Girth Weld,,,,,,,,,,3134.572344,ft,,in,,in,,,weld,False,False,True
2900.0,40.01,0.344,,10324.04,824.7206,Girth Weld,,,,,,,,,,3146.767392,ft,,in,,in,,,weld,False,False,True
2910.0,20.52,0.344,,10364.04,824.5069,Girth Weld,,,,,,,,,,3158.959392,ft,,in,,in,,,weld,False,False,True
2920.0,39.9,0.344,,10384.56,824.3358,Girth Weld,,,,,,,,,,3165.213888,ft,,in,,in,,,weld,False,False,True
,,0.344,-8.37,10392.93,824.2547,metal loss-manufacturing anomaly,17.0,,3.66,0.71,,08:22:00,,,240.0,3167.765064,ft,92.964,in,18.034,in,17.0,240.0,corrosion,True,True,True
,,0.344,-19.7,10404.26,824.1441,metal loss-manufacturing anomaly,17.0,,3.58,0.63,,02:23:00,,,60.0,3171.218448,ft,90.932,in,16.002,in,17.0,60.0,corrosion,True,True,True
2930.0,40.01,0.344,,10424.46,823.9431,Girth Weld,,,,,,,,,,3177.375408,ft,,in,,in,,,weld,False,False,True
,,,,10431.4,823.8735,Above Ground Marker,,,,,,,,AGM 2    U,,3179.4907200000002,ft,,in,,in,,,above ground marker,False,False,True
2940.0,39.94,0.344,,10464.47,823.4679,Girth Weld,,,,,,,,,,3189.570456,ft,,in,,in,,,weld,False,False,True
2950.0,40.01,0.344,,10504.41,822.7946,Girth Weld,,,,,,,,,,3201.744168,ft,,in,,in,,,weld,False,False,True
,,0.344,-0.76,10505.17,822.7847,Cluster,10.0,,4.09,13.28,,05:10:00,NO,,150.0,3201.975816,ft,103.886,in,337.31199999999995,in,10.0,150.0,cluster,True,True,True
2960.0,40.0,0.344,,10544.42,822.0126,Girth Weld,,,,,,,,,,3213.939216,ft,,in,,in,,,weld,False,False,True
,,0.344,-29.95,10574.38,820.8848,Cluster,21.0,,6.8,5.8,1.69,04:21:00,NO,,120.0,3223.071024,ft,172.72,in,147.32,in,21.0,120.0,cluster,True,True,True
,,0.344,-30.7,10575.13,820.8552,Cluster,17.0,,6.35,2.87,,04:19:00,NO,,120.0,3223.2996239999998,ft,161.29,in,72.898,in,17.0,120.0,cluster,True,True,True
,,0.344,-33.09,10577.51,820.7606,Cluster,12.0,,2.87,1.43,,06:20:00,NO,,180.0,3224.0250480000004,ft,72.898,in,36.321999999999996,in,12.0,180.0,cluster,True,True,True
,,0.344,-39.0,10583.42,820.523,Cluster,19.0,,2.99,2.91,,06:27:00,NO,,180.0,3225.8264160000003,ft,75.946,in,73.914,in,19.0,180.0,cluster,True,True,True
,,0.344,-39.15,10583.57,820.5169,metal loss,26.0,,1.06,2.28,1.86,03:53:00,NO,,90.0,3225.872136,ft,26.924,in,57.91199999999999,in,26.0,90.0,corrosion,True,True,True
2970.0,39.99,0.344,,10584.42,820.482,Girth Weld,,,,,,,,,,3226.131216,ft,,in,,in,,,weld,False,False,True
,,,,10618.52,819.7015,Tap,,,,,,12:00:00,,,0.0,3236.5248960000004,ft,,in,,in,,0.0,tap,True,False,True
,,,,10620.51,819.7165,Tap,,,,,,12:00:00,,,0.0,3237.131448,ft,,in,,in,,0.0,tap,True,False,True
2980.0,39.91,0.344,,10624.41,819.7459,Girth Weld,,,,,,,,,,3238.320168,ft,,in,,in,,,weld,False,False,True
2990.0,39.93,0.344,,10664.32,820.0225,Girth Weld,,,,,,,,,,3250.484736,ft,,in,,in,,,weld,False,False,True
3000.0,38.73,0.344,,10704.25,820.3489,Girth Weld,,,,,,,,,,3262.6554,ft,,in,,in,,,weld,False,False,True
3010.0,19.74,0.344,,10742.98,820.7043,Girth Weld,,,,,,,,,,3274.460304,ft,,in,,in,,,weld,False,False,True
,,0.344,-0.54,10743.51,820.7096,Cluster,23.0,,2.6,2.39,1.8,05:18:00,NO,,150.0,3274.621848,ft,66.03999999999999,in,60.706,in,23.0,150.0,cluster,True,True,True
3020.0,40.13,0.344,,10762.72,820.8836,Girth Weld,,,,,,,,,,3280.477056,ft,,in,,in,,,weld,False,False,True
3030.0,39.98,0.344,,10802.85,820.9673,Girth Weld,,,,,,,,,,3292.70868,ft,,in,,in,,,weld,False,False,True
3040.0,39.98,0.344,,10842.83,822.2899,Girth Weld,,,,,,,,,,3304.894584,ft,,in,,in,,,weld,False,False,True
3050.0,39.92,0.344,,10882.82,825.1324,Girth Weld,,,,,,,,,,3317.083536,ft,,in,,in,,,weld,False,False,True
3060.0,39.95,0.344,,10922.74,826.699,Girth Weld,,,,,,,,,,3329.2511520000003,ft,,in,,in,,,weld,False,False,True
3070.0,39.98,0.344,,10962.69,827.6767,Girth Weld,,,,,,,,,,3341.427912,ft,,in,,in,,,weld,False,False,True
3080.0,39.97,0.344,,11002.66,828.4034,Girth Weld,,,,,,,,,,3353.610768,ft,,in,,in,,,weld,False,False,True
3090.0,39.97,0.344,,11042.63,829.1032,Girth Weld,,,,,,,,,,3365.793624,ft,,in,,in,,,weld,False,False,True
,,0.344,-4.3,11046.93,829.1849,metal loss-manufacturing anomaly,12.0,,0.63,0.75,,03:25:00,,,90.0,3367.104264,ft,16.002,in,19.049999999999997,in,12.0,90.0,corrosion,True,True,True
3100.0,39.94,0.344,,11082.6,830.137,Girth Weld,,,,,,,,,,3377.9764800000003,ft,,in,,in,,,weld,False,False,True
3110.0,39.87,0.344,,11122.54,831.1737,Girth Weld,,,,,,,,,,3390.1501920000005,ft,,in,,in,,,weld,False,False,True
3120.0,39.95,0.344,,11162.41,832.2356,Girth Weld,,,,,,,,,,3402.302568,ft,,in,,in,,,weld,False,False,True
3130.0,39.95,0.344,,11202.37,833.4085,Girth Weld,,,,,,,,,,3414.4823760000004,ft,,in,,in,,,weld,False,False,True
3140.0,39.91,0.344,,11242.31,834.6077,Girth Weld,,,,,,,,,,3426.656088,ft,,in,,in,,,weld,False,False,True
3150.0,39.99,0.344,,11282.22,835.8365,Girth Weld,,,,,,,,,,3438.820656,ft,,in,,in,,,weld,False,False,True
3160.0,39.99,0.344,,11322.21,837.6544,Girth Weld,,,,,,,,,,3451.009608,ft,,in,,in,,,weld,False,False,True
3170.0,39.95,0.344,,11362.19,839.5826,Girth Weld,,,,,,,,,,3463.1955120000002,ft,,in,,in,,,weld,False,False,True
3180.0,39.97,0.344,,11402.14,841.351,Girth Weld,,,,,,,,,,3475.372272,ft,,in,,in,,,weld,False,False,True
3190.0,39.91,0.344,,11442.11,842.9048,Girth Weld,,,,,,,,,,3487.5551280000004,ft,,in,,in,,,weld,False,False,True
3200.0,39.92,0.344,,11482.02,843.7978,Girth Weld,,,,,,,,,,3499.719696,ft,,in,,in,,,weld,False,False,True
3210.0,39.98,0.344,,11521.94,844.4853,Girth Weld,,,,,,,,,,3511.8873120000003,ft,,in,,in,,,weld,False,False,True
3220.0,39.31,0.344,,11561.92,844.9886,Girth Weld,,,,,,,,,,3524.0732160000002,ft,,in,,in,,,weld,False,False,True
3230.0,39.79,0.344,,11601.23,846.5251,Girth Weld,,,,,,,,,,3536.054904,ft,,in,,in,,,weld,False,False,True
3240.0,39.94,0.344,,11641.02,848.6798,Girth Weld,,,,,,,,,,3548.1828960000003,ft,,in,,in,,,weld,False,False,True
3250.0,39.92,0.344,,11680.96,849.7608,Girth Weld,,,,,,,,,,3560.356608,ft,,in,,in,,,weld,False,False,True
3260.0,39.94,0.344,,11720.88,850.0503,Girth Weld,,,,,,,,,,3572.524224,ft,,in,,in,,,weld,False,False,True
3270.0,40.05,0.344,,11760.82,849.8926,Girth Weld,,,,,,,,,,3584.697936,ft,,in,,in,,,weld,False,False,True
3280.0,39.87,0.344,,11800.88,849.4501,Girth Weld,,,,,,,,,,3596.908224,ft,,in,,in,,,weld,False,False,True
3290.0,39.96,0.344,,11840.74,850.0526,Girth Weld,,,,,,,,,,3609.057552,ft,,in,,in,,,weld,False,False,True
3300.0,40.03,0.344,,11880.7,852.5755,Girth Weld,,,,,,,,,,3621.2373600000005,ft,,in,,in,,,weld,False,False,True
3310.0,39.97,0.344,,11920.74,854.8436,Girth Weld,,,,,,,,,,3633.4415520000002,ft,,in,,in,,,weld,False,False,True
3320.0,39.98,0.344,,11960.71,856.4503,Girth Weld,,,,,,,,,,3645.624408,ft,,in,,in,,,weld,False,False,True
3330.0,39.94,0.344,,12000.69,857.736,Girth Weld,,,,,,,,,,3657.8103120000005,ft,,in,,in,,,weld,False,False,True
3340.0,39.92,0.344,,12040.63,858.7553,Girth Weld,,,,,,,,,,3669.984024,ft,,in,,in,,,weld,False,False,True
3350.0,39.95,0.344,,12080.55,859.8149,Girth Weld,,,,,,,,,,3682.15164,ft,,in,,in,,,weld,False,False,True
3360.0,39.95,0.344,,12120.5,860.9063,Girth Weld,,,,,,,,,,3694.3284000000003,ft,,in,,in,,,weld,False,False,True
3370.0,39.96,0.344,,12160.45,861.8663,Girth Weld,,,,,,,,,,3706.5051600000006,ft,,in,,in,,,weld,False,False,True
,,0.344,-19.85,12180.29,862.3529,metal loss-manufacturing anomaly,13.0,,3.78,1.46,,10:32:00,,,300.0,3712.5523920000005,ft,96.01199999999999,in,37.083999999999996,in,13.0,300.0,corrosion,True,True,True
3380.0,39.92,0.344,,12200.4,863.0888,Girth Weld,,,,,,,,,,3718.68192,ft,,in,,in,,,weld,False,False,True
3390.0,39.98,0.344,,12240.32,864.6579,Girth Weld,,,,,,,,,,3730.849536,ft,,in,,in,,,weld,False,False,True
3400.0,39.97,0.344,,12280.29,865.6199,Girth Weld,,,,,,,,,,3743.0323920000005,ft,,in,,in,,,weld,False,False,True
3410.0,39.95,0.344,,12320.26,867.05,Girth Weld,,,,,,,,,,3755.2152480000004,ft,,in,,in,,,weld,False,False,True
3420.0,33.5,0.344,,12360.22,869.2006,Girth Weld,,,,,,,,,,3767.395056,ft,,in,,in,,,weld,False,False,True
,,0.344,-20.9,12381.12,870.4641,metal loss-manufacturing anomaly,20.0,,3.66,2.68,,05:02:00,,,150.0,3773.7653760000003,ft,92.964,in,68.072,in,20.0,150.0,corrosion,True,True,True
3430.0,39.91,0.344,,12393.72,871.373,Girth Weld,,,,,,,,,,3777.605856,ft,,in,,in,,,weld,False,False,True
3440.0,39.93,0.344,,12433.63,874.3226,Girth Weld,,,,,,,,,,3789.770424,ft,,in,,in,,,weld,False,False,True
3450.0,39.95,0.344,,12473.56,877.4811,Girth Weld,,,,,,,,,,3801.941088,ft,,in,,in,,,weld,False,False,True
3460.0,39.88,0.344,,12513.51,881.2307,Girth Weld,,,,,,,,,,3814.1178480000003,ft,,in,,in,,,weld,False,False,True
3470.0,27.75,0.344,,12553.39,884.9166,Girth Weld,,,,,,,,,,3826.273272,ft,,in,,in,,,weld,False,False,True
3480.0,40.05,0.344,,12581.14,886.9941,Girth Weld,,,,,,,,,,3834.731472,ft,,in,,in,,,weld,False,False,True
3490.0,13.26,0.5,,12621.19,889.3023,Girth Weld,,,,,,,,"0.500""",,3846.938712,ft,,in,,in,,,weld,False,False,True
,,,,12627.69,889.6405,Bend,,,,,,,,6.3D - 36° - Left,,3848.9199120000003,ft,,in,,in,,,bend,False,False,True
3500.0,28.75,0.344,,12634.45,889.9876,Girth Weld,,,,,,,,"0.344""",,3850.9803600000005,ft,,in,,in,,,weld,False,False,True
3510.0,39.86,0.344,,12663.2,891.0695,Girth Weld,,,,,,,,,,3859.7433600000004,ft,,in,,in,,,weld,False,False,True
3520.0,39.92,0.344,,12703.06,891.7243,Girth Weld,,,,,,,,,,3871.892688,ft,,in,,in,,,weld,False,False,True
3530.0,39.98,0.344,,12742.98,891.7812,Girth Weld,,,,,,,,,,3884.060304,ft,,in,,in,,,weld,False,False,True
3540.0,39.97,0.344,,12782.96,890.6279,Girth Weld,,,,,,,,,,3896.246208,ft,,in,,in,,,weld,False,False,True
3550.0,39.95,0.344,,12822.92,890.2389,Girth Weld,,,,,,,,,,3908.4260160000003,ft,,in,,in,,,weld,False,False,True
3560.0,39.94,0.344,,12862.87,889.6225,Girth Weld,,,,,,,,,,3920.6027760000006,ft,,in,,in,,,weld,False,False,True
3570.0,40.03,0.344,,12902.81,888.8835,Girth Weld,,,,,,,,,,3932.776488,ft,,in,,in,,,weld,False,False,True
3580.0,39.85,0.344,,12942.84,887.4879,Girth Weld,,,,,,,,,,3944.977632,ft,,in,,in,,,weld,False,False,True
3590.0,35.73,0.344,,12982.69,885.79,Girth Weld,,,,,,,,,,3957.1239120000005,ft,,in,,in,,,weld,False,False,True
3600.0,39.89,0.344,,13018.42,883.8514,Girth Weld,,,,,,,,,,3968.0144160000004,ft,,in,,in,,,weld,False,False,True
3610.0,40.0,0.344,,13058.31,881.4757,Girth Weld,,,,,,,,,,3980.172888,ft,,in,,in,,,weld,False,False,True
3620.0,39.99,0.344,,13098.3,879.0755,Girth Weld,,,,,,,,,,3992.36184,ft,,in,,in,,,weld,False,False,True
3630.0,39.99,0.344,,13138.29,876.6822,Girth Weld,,,,,,,,,,4004.5507920000005,ft,,in,,in,,,weld,False,False,True
,,0.344,-0.6,13138.89,876.6469,metal loss,33.0,,5.51,0.63,1.61,04:05:00,NO,,120.0,4004.733672,ft,139.95399999999998,in,16.002,in,33.0,120.0,corrosion,True,True,True
,,0.344,-0.61,13138.9,876.646,Cluster,34.0,,8.47,25.13,1.52,04:35:00,NO,,120.0,4004.73672,ft,215.138,in,638.3019999999999,in,34.0,120.0,cluster,True,True,True
,,0.344,-0.82,13139.11,876.6339,metal loss,11.0,,0.98,1.77,,03:15:00,NO,,90.0,4004.800728,ft,24.892,in,44.958,in,11.0,90.0,corrosion,True,True,True
3640.0,39.94,0.344,,13178.28,874.3668,Girth Weld,,,,,,,,,,4016.7397440000004,ft,,in,,in,,,weld,False,False,True
3650.0,39.99,0.344,,13218.22,871.9099,Girth Weld,,,,,,,,,,4028.913456,ft,,in,,in,,,weld,False,False,True
3660.0,39.87,0.344,,13258.21,868.6308,Girth Weld,,,,,,,,,,4041.1024079999997,ft,,in,,in,,,weld,False,False,True
3670.0,39.96,0.344,,13298.08,864.5027,Girth Weld,,,,,,,,,,4053.254784,ft,,in,,in,,,weld,False,False,True
3680.0,39.97,0.344,,13338.04,859.0906,Girth Weld,,,,,,,,,,4065.4345920000005,ft,,in,,in,,,weld,False,False,True
3690.0,15.08,0.5,,13378.0,853.5816,Girth Weld,,,,,,,,"0.500""",,4077.6144000000004,ft,,in,,in,,,weld,False,False,True
,,,,13385.85,852.4992,Bend,,,,,,,,6.6D - 43° - Sag,,4080.0070800000003,ft,,in,,in,,,bend,False,False,True
3700.0,40.02,0.344,,13393.08,851.502,Girth Weld,,,,,,,,"0.344""",,4082.2107840000003,ft,,in,,in,,,weld,False,False,True
,,0.344,-0.76,13393.85,851.3967,Cluster,14.0,,2.52,8.15,,11:48:00,NO,,330.0,4082.4454800000003,ft,64.008,in,207.01,in,14.0,330.0,cluster,True,True,True
3710.0,39.99,0.344,,13433.1,847.2316,Girth Weld,,,,,,,,,,4094.4088800000004,ft,,in,,in,,,weld,False,False,True
3720.0,39.97,0.344,,13473.1,853.1646,Girth Weld,,,,,,,,,,4106.60088,ft,,in,,in,,,weld,False,False,True
3730.0,40.02,0.344,,13513.06,858.8295,Girth Weld,,,,,,,,,,4118.780688,ft,,in,,in,,,weld,False,False,True
3740.0,40.05,0.344,,13553.08,864.0554,Girth Weld,,,,,,,,,,4130.978784,ft,,in,,in,,,weld,False,False,True
3750.0,37.55,0.344,,13593.14,868.2145,Girth Weld,,,,,,,,,,4143.189072,ft,,in,,in,,,weld,False,False,True
3760.0,38.88,0.344,,13630.69,871.3712,Girth Weld,,,,,,,,,,4154.634312,ft,,in,,in,,,weld,False,False,True
3770.0,39.91,0.344,,13669.57,873.693,Girth Weld,,,,,,,,,,4166.484936,ft,,in,,in,,,weld,False,False,True
3780.0,24.28,0.344,,13709.48,874.4402,Girth Weld,,,,,,,,,,4178.649504,ft,,in,,in,,,weld,False,False,True
3790.0,39.93,0.344,,13733.76,874.6951,Girth Weld,,,,,,,,,,4186.050048,ft,,in,,in,,,weld,False,False,True
