J. no.,J. len [ft],Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification
4710.0,,0.344,-0.84,39.28,16700.8,metal loss,External,45.0,0.155,,,0.87,3.98,04:54:00,Repaired?,,0.7,249.36,,MFL-A/XT,,1160.0,65000.0,,1342.0,1454.8,2019.96,1522.85,2114.44,1526.83,2119.96,0.76,1.82,120.0,5090.40384,ft,22.098,in,101.092,in,45.0,120.0,,True,True,False
4710.0,,0.344,-0.84,39.28,16700.8,cluster,External,22.0,0.076,,,2.4,4.61,06:08:00,Repaired?,,0.7,249.36,,,,1160.0,65000.0,,1342.0,1427.36,1981.86,1491.66,2071.13,1489.98,2068.8,0.78,1.79,180.0,5090.40384,ft,60.959999999999994,in,117.09400000000001,in,22.0,180.0,,True,True,False
4710.0,,0.344,-0.85,39.27,16700.81,metal loss,External,12.0,0.041,,,0.98,4.61,02:17:00,Repaired?,,0.7,249.36,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,60.0,5090.406888,ft,24.892,in,117.09400000000001,in,12.0,60.0,,True,True,False
4710.0,,0.344,-0.87,39.25,16700.83,metal loss,External,13.0,0.045,,,0.91,1.77,07:02:00,Repaired?,,0.7,249.36,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.02,2042.48,,,,,,,210.0,5090.4129840000005,ft,23.114,in,44.958,in,13.0,210.0,,True,True,False
4710.0,,,,,16701.55,Area End Composite Wrap,,,,,,,,,Repair Marker @12:00 2012 Dig #10,,,249.36,,,,,,,,,,,,,,,,,5090.63244,ft,,in,,in,,,,False,False,False
4710.0,,,,,16701.63,Attachment,,,,,,,,06:00:00,Repair Marker 2012 Dig #10 Recoat,,,249.36,,,,,,,,,,,,,,,,180.0,5090.656824000001,ft,,in,,in,,180.0,,True,False,False
4720.0,40.11,0.344,,,16740.08,GirthWeld,,,,,,,,,,,1.0,249.55,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5102.376384000001,ft,,in,,in,,,,False,False,False
4730.0,40.1,0.344,,,16780.19,GirthWeld,,,,,,,,,,2.0,0.7,249.93,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5114.601912,ft,,in,,in,,,,False,False,False
4730.0,,0.344,-0.25,39.85,16780.45,metal loss,External,10.0,0.034,,,0.32,0.63,04:02:00,,,0.7,249.93,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,5114.68116,ft,8.128,in,16.002,in,10.0,120.0,,True,True,False
4730.0,,0.344,-0.58,39.52,16780.77,metal loss,External,13.0,0.045,,,0.51,1.34,03:40:00,,,0.7,249.93,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.51,2047.32,,,,,,,90.0,5114.778696,ft,12.953999999999999,in,34.036,in,13.0,90.0,,True,True,False
4740.0,40.05,0.344,,,16820.29,GirthWeld,,,,,,,,,,,0.7,250.3,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5126.824392,ft,,in,,in,,,,False,False,False
4750.0,40.08,0.344,,,16860.34,GirthWeld,,,,,,,,,,,0.7,250.86,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5139.031632,ft,,in,,in,,,,False,False,False
4760.0,39.97,0.344,,,16900.42,GirthWeld,,,,,,,,,,,0.7,250.95,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5151.248016,ft,,in,,in,,,,False,False,False
4770.0,40.11,0.344,,,16940.39,GirthWeld,,,,,,,,,,,0.7,250.56,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5163.430872,ft,,in,,in,,,,False,False,False
4780.0,40.12,0.344,,,16980.5,GirthWeld,,,,,,,,,,,0.7,250.2,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5175.6564,ft,,in,,in,,,,False,False,False
4790.0,40.13,0.344,,,17020.62,GirthWeld,,,,,,,,,,,0.7,250.22,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5187.884976,ft,,in,,in,,,,False,False,False
4800.0,40.1,0.344,,,17060.75,GirthWeld,,,,,,,,,,,0.7,251.58,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5200.1166,ft,,in,,in,,,,False,False,False
4810.0,40.27,0.344,,,17100.85,GirthWeld,,,,,,,,,,,0.7,253.28,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5212.33908,ft,,in,,in,,,,False,False,False
4820.0,40.32,0.344,,,17141.12,GirthWeld,,,,,,,,,,,0.7,257.59,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5224.613376,ft,,in,,in,,,,False,False,False
4830.0,11.86,0.344,,,17181.45,GirthWeld,,,,,,,,,,,0.7,268.15,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5236.90596,ft,,in,,in,,,,False,False,False
4840.0,40.24,0.344,,,17193.31,GirthWeld,,,,,,,,,,,0.7,272.0,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5240.520888000001,ft,,in,,in,,,,False,False,False
4850.0,40.1,0.344,,,17233.54,GirthWeld,,,,,,,,,,,0.7,287.7,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5252.782992,ft,,in,,in,,,,False,False,False
4860.0,40.16,0.344,,,17273.64,GirthWeld,,,,,,,,,,,0.7,305.37,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5265.005472,ft,,in,,in,,,,False,False,False
4870.0,40.12,0.344,,,17313.8,GirthWeld,,,,,,,,,,,0.7,324.4,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5277.24624,ft,,in,,in,,,,False,False,False
4880.0,40.04,0.344,,,17353.93,GirthWeld,,,,,,,,,,,0.7,345.56,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5289.477864,ft,,in,,in,,,,False,False,False
4890.0,40.06,0.344,,,17393.97,GirthWeld,,,,,,,,,,,0.7,366.79,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5301.682056000001,ft,,in,,in,,,,False,False,False
4900.0,40.02,0.344,,,17434.03,GirthWeld,,,,,,,,,,1.0,0.7,386.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5313.892344,ft,,in,,in,,,,False,False,False
4900.0,,,,,17473.09,Attachment,,,,,,,,06:00:00,Repair Marker 2012 Dig #11 Recoat,,,402.17,,,,,,,,,,,,,,,,180.0,5325.797832,ft,,in,,in,,180.0,,True,False,False
4900.0,,0.344,-39.15,0.87,17473.17,metal loss,External,10.0,0.034,,,0.98,3.78,06:11:00,Recoat,,0.7,402.21,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,180.0,5325.822216,ft,24.892,in,96.01199999999999,in,10.0,180.0,,True,True,False
4910.0,40.01,0.344,,,17474.05,GirthWeld,,,,,,,,,,,0.7,402.54,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5326.09044,ft,,in,,in,,,,False,False,False
4910.0,,,,,17474.86,Attachment,,,,,,,,06:00:00,Repair Marker 2012 Dig #11 Recoat,,,402.84,,,,,,,,,,,,,,,,180.0,5326.3373280000005,ft,,in,,in,,180.0,,True,False,False
4920.0,40.16,0.344,,,17514.06,GirthWeld,,,,,,,,,,,0.7,414.51,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5338.285488,ft,,in,,in,,,,False,False,False
4930.0,9.35,0.5,,,17554.21,GirthWeld,,,,,,,,,,,0.7,418.21,,,,1160.0,60000.0,,1800.0,,,,,,,,,,5350.523208,ft,,in,,in,,,,False,False,False
4930.0,,,,,17559.53,Bend,,,,,,,,,5.5D -  23° - Over,,,417.63,,,,,,,,,,,,,,,,,5352.144744,ft,,in,,in,,,,False,False,False
4940.0,25.44,0.344,,,17563.57,GirthWeld,,,,,,,,,,,0.7,415.7,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5353.376136,ft,,in,,in,,,,False,False,False
4950.0,31.3,0.344,,,17589.01,GirthWeld,,,,,,,,,,,0.7,402.98,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5361.1302479999995,ft,,in,,in,,,,False,False,False
4960.0,40.11,0.344,,,17620.31,GirthWeld,,,,,,,,,,,0.7,388.14,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5370.670488000001,ft,,in,,in,,,,False,False,False
4970.0,40.16,0.344,,,17660.43,GirthWeld,,,,,,,,,,,0.7,372.09,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5382.899064,ft,,in,,in,,,,False,False,False
4980.0,40.17,0.344,,,17700.59,GirthWeld,,,,,,,,,,,1.0,361.26,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5395.139832000001,ft,,in,,in,,,,False,False,False
4990.0,40.04,0.344,,,17740.76,GirthWeld,,,,,,,,,,,0.7,355.62,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5407.383648,ft,,in,,in,,,,False,False,False
5000.0,40.1,0.344,,,17780.81,GirthWeld,,,,,,,,,,,0.7,353.02,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5419.590888000001,ft,,in,,in,,,,False,False,False
5010.0,40.13,0.344,,,17820.91,GirthWeld,,,,,,,,,,,0.7,353.38,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5431.813368,ft,,in,,in,,,,False,False,False
5020.0,31.82,0.344,,,17861.04,GirthWeld,,,,,,,,,,,0.7,355.21,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5444.044992,ft,,in,,in,,,,False,False,False
5030.0,40.08,0.344,,,17892.86,GirthWeld,,,,,,,,,,,0.7,358.16,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5453.743728,ft,,in,,in,,,,False,False,False
5040.0,40.15,0.344,,,17932.93,GirthWeld,,,,,,,,,,,0.7,362.24,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5465.957064,ft,,in,,in,,,,False,False,False
5050.0,40.11,0.344,,,17973.09,GirthWeld,,,,,,,,,,,0.7,367.28,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5478.197832000001,ft,,in,,in,,,,False,False,False
5060.0,31.32,0.344,,,18013.2,GirthWeld,,,,,,,,,,,0.7,373.27,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5490.423360000001,ft,,in,,in,,,,False,False,False
5070.0,40.06,0.344,,,18044.52,GirthWeld,,,,,,,,,,,0.7,376.6,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5499.969696,ft,,in,,in,,,,False,False,False
5080.0,39.98,0.344,,,18084.58,GirthWeld,,,,,,,,,,,0.7,379.06,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5512.179984000001,ft,,in,,in,,,,False,False,False
5090.0,39.99,0.344,,,18124.56,GirthWeld,,,,,,,,,,,1.0,377.33,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5524.365888,ft,,in,,in,,,,False,False,False
5100.0,40.01,0.344,,,18164.55,GirthWeld,,,,,,,,,,2.0,0.7,374.48,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5536.55484,ft,,in,,in,,,,False,False,False
5100.0,,0.344,-38.91,1.1,18203.47,cluster,External,28.0,0.096,,,1.69,6.41,05:52:00,,,0.7,371.46,,,,1160.0,65000.0,,1342.0,1438.14,1996.82,1504.49,2088.95,1509.91,2096.47,0.77,1.8,150.0,5548.4176560000005,ft,42.925999999999995,in,162.814,in,28.0,150.0,,True,True,False
5100.0,,0.344,-39.06,0.95,18203.62,metal loss,External,12.0,0.041,,,0.67,0.75,05:56:00,,,0.7,371.45,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,5548.463376,ft,17.018,in,19.049999999999997,in,12.0,150.0,,True,True,False
5110.0,8.21,0.344,,,18204.57,GirthWeld,,,,,,,,,,,0.7,371.39,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5548.752936,ft,,in,,in,,,,False,False,False
5120.0,39.98,0.344,,,18212.77,GirthWeld,,,,,,,,,,2.0,0.7,370.87,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5551.252296000001,ft,,in,,in,,,,False,False,False
5120.0,,0.344,-0.74,39.24,18213.52,metal loss,External,10.0,0.034,,,1.5,2.28,05:04:00,,,0.7,370.82,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,5551.480896,ft,38.099999999999994,in,57.91199999999999,in,10.0,150.0,,True,True,False
5120.0,,0.344,-0.81,39.17,18213.58,metal loss,External,31.0,0.107,,,0.83,2.48,06:05:00,,,0.7,370.82,,MFL-A/XT,,1160.0,65000.0,,1342.0,1464.13,2032.91,1534.75,2130.96,1536.32,2133.14,0.76,1.84,180.0,5551.499184000001,ft,21.081999999999997,in,62.992,in,31.0,180.0,,True,True,False
5130.0,39.97,0.344,,,18252.75,GirthWeld,,,,,,,,,,,0.7,370.17,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5563.4382000000005,ft,,in,,in,,,,False,False,False
5140.0,39.91,0.344,,,18292.72,GirthWeld,,,,,,,,,,,0.7,371.18,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5575.621056000001,ft,,in,,in,,,,False,False,False
5150.0,39.86,0.344,,,18332.63,GirthWeld,,,,,,,,,,,0.7,374.58,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5587.785624000001,ft,,in,,in,,,,False,False,False
5160.0,40.0,0.344,,,18372.49,GirthWeld,,,,,,,,,,,0.7,378.77,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5599.9349520000005,ft,,in,,in,,,,False,False,False
5170.0,40.0,0.344,,,18412.49,GirthWeld,,,,,,,,,,,0.7,385.14,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5612.1269520000005,ft,,in,,in,,,,False,False,False
5180.0,39.91,0.344,,,18452.49,GirthWeld,,,,,,,,,,1.0,0.7,396.09,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5624.3189520000005,ft,,in,,in,,,,False,False,False
5180.0,,0.344,-0.87,39.04,18453.36,metal loss,External,23.0,0.079,,,0.55,1.1,06:36:00,,,0.7,396.38,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.35,2044.32,1544.24,2144.15,1544.57,2144.59,0.75,1.85,180.0,5624.584128,ft,13.97,in,27.94,in,23.0,180.0,,True,True,False
5190.0,34.54,0.344,,,18492.4,GirthWeld,,,,,,,,,,,1.0,410.86,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5636.483520000001,ft,,in,,in,,,,False,False,False
5200.0,40.03,0.344,,,18526.94,GirthWeld,,,,,,,,,,,0.7,426.29,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5647.011312,ft,,in,,in,,,,False,False,False
5210.0,39.9,0.344,,,18566.97,GirthWeld,,,,,,,,,,,0.7,444.94,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5659.212456,ft,,in,,in,,,,False,False,False
5220.0,39.89,0.344,,,18606.87,GirthWeld,,,,,,,,,,,0.7,465.43,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5671.373976,ft,,in,,in,,,,False,False,False
5230.0,40.0,0.344,,,18646.76,GirthWeld,,,,,,,,,,,0.7,486.51,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5683.532448,ft,,in,,in,,,,False,False,False
5240.0,39.99,0.344,,,18686.76,GirthWeld,,,,,,,,,,,0.7,508.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5695.724448,ft,,in,,in,,,,False,False,False
5250.0,40.05,0.344,,,18726.75,GirthWeld,,,,,,,,,,,0.7,529.91,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5707.9134,ft,,in,,in,,,,False,False,False
5260.0,40.03,0.344,,,18766.8,GirthWeld,,,,,,,,,,,0.7,551.64,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5720.12064,ft,,in,,in,,,,False,False,False
5270.0,35.32,0.344,,,18806.83,GirthWeld,,,,,,,,,,4.0,0.7,572.96,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5732.321784000001,ft,,in,,in,,,,False,False,False
5270.0,,,,,18839.54,Attachment,,,,,,,,06:00:00,Repair Marker,,,589.0,,,,,,,,,,,,,,,,180.0,5742.291792000001,ft,,in,,in,,180.0,,True,False,False
5270.0,,0.344,-35.01,0.31,18841.84,metal loss,External,10.0,0.034,,,1.38,4.45,11:42:00,near girth weld Recoat,,0.7,589.95,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,330.0,5742.992832,ft,35.05199999999999,in,113.03,in,10.0,330.0,,True,True,False
5270.0,,0.344,-35.05,0.27,18841.88,cluster,External,54.0,0.186,,,2.53,18.14,06:17:00,affecting girth weld Recoat,,0.7,589.97,,,,1160.0,65000.0,,1342.0,1318.15,1830.22,1345.19,1867.76,1421.64,1973.91,0.86,1.61,180.0,5743.005024000001,ft,64.26199999999999,in,460.756,in,54.0,180.0,,True,True,False
5270.0,,0.344,-35.19,0.13,18842.02,metal loss,External,12.0,0.041,,,0.63,5.35,12:03:00,near girth weld Recoat,,0.7,590.03,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,0.0,5743.0476960000005,ft,16.002,in,135.89,in,12.0,0.0,,True,True,False
5270.0,,0.344,-35.2,0.12,18842.02,metal loss,External,18.0,0.062,,,0.47,1.22,11:38:00,near girth weld Recoat,,0.7,590.03,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.99,2046.6,,,,,,,330.0,5743.0476960000005,ft,11.937999999999999,in,30.987999999999996,in,18.0,330.0,,True,True,False
5280.0,11.82,0.5,,,18842.14,GirthWeld,,,,,,,,,,,0.7,590.08,,,,1160.0,60000.0,,1800.0,,,,,,,,,,5743.084272,ft,,in,,in,,,,False,False,False
5280.0,,,,,18848.15,Bend,,,,,,,,,5.7D -  36° - Left,,,592.34,,,,,,,,,,,,,,,,,5744.916120000001,ft,,in,,in,,,,False,False,False
5290.0,40.35,0.344,,,18853.96,GirthWeld,,,,,,,,,,,0.7,593.43,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5746.687008,ft,,in,,in,,,,False,False,False
5290.0,,,,,18883.46,AGM,,,,,,,,,AGM#7 AT PLM/ ON FENCE,,,597.54,,,,,,,,,,,,,,,,,5755.678608,ft,,in,,in,,,,False,False,False
5300.0,40.18,0.344,,,18894.32,GirthWeld,,,,,,,,,,,0.7,598.71,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5758.988736,ft,,in,,in,,,,False,False,False
5310.0,40.14,0.344,,,18934.5,GirthWeld,,,,,,,,,,,1.0,599.51,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5771.2356,ft,,in,,in,,,,False,False,False
5310.0,,,,,18939.78,Tap,,,,,,,,12:00:00,,,,599.2,,,,,,,,,,,,,,,,0.0,5772.8449439999995,ft,,in,,in,,0.0,,True,False,False
5320.0,30.26,0.344,,,18974.64,GirthWeld,,,,,,,,,,,1.0,595.08,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5783.4702720000005,ft,,in,,in,,,,False,False,False
5330.0,39.95,0.344,,,19004.9,GirthWeld,,,,,,,,,,,0.7,589.88,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5792.693520000001,ft,,in,,in,,,,False,False,False
5340.0,40.03,0.344,,,19044.85,GirthWeld,,,,,,,,,,,0.7,583.1,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5804.87028,ft,,in,,in,,,,False,False,False
5350.0,40.06,0.344,,,19084.88,GirthWeld,,,,,,,,,,,0.7,576.77,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5817.071424000001,ft,,in,,in,,,,False,False,False
5360.0,40.07,0.344,,,19124.93,GirthWeld,,,,,,,,,,,0.7,571.95,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5829.278664,ft,,in,,in,,,,False,False,False
5370.0,39.99,0.344,,,19165.0,GirthWeld,,,,,,,,,,,0.7,567.38,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5841.492,ft,,in,,in,,,,False,False,False
5380.0,39.42,0.344,,,19205.0,GirthWeld,,,,,,,,,,,1.0,563.13,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5853.684,ft,,in,,in,,,,False,False,False
5390.0,40.03,0.344,,,19244.41,GirthWeld,,,,,,,,,,,0.7,558.47,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5865.696168,ft,,in,,in,,,,False,False,False
5400.0,39.93,0.344,,,19284.44,GirthWeld,,,,,,,,,,2.0,0.7,552.56,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5877.897312,ft,,in,,in,,,,False,False,False
5400.0,,0.344,-39.07,0.86,19323.51,metal loss,External,16.0,0.055,,,0.63,2.21,05:19:00,,,0.7,545.43,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.97,2045.19,,,,,,,150.0,5889.805848,ft,16.002,in,56.13399999999999,in,16.0,150.0,,True,True,False
5400.0,,0.344,-39.79,0.14,19324.23,metal loss,External,11.0,0.038,,,0.47,0.91,07:42:00,near girth weld,,0.7,545.29,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,210.0,5890.025304,ft,11.937999999999999,in,23.114,in,11.0,210.0,,True,True,False
5410.0,39.94,0.344,,,19324.37,GirthWeld,,,,,,,,,,,0.7,545.26,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5890.067976,ft,,in,,in,,,,False,False,False
5420.0,39.98,0.344,,,19364.31,GirthWeld,,,,,,,,,,,0.7,537.88,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5902.241688000001,ft,,in,,in,,,,False,False,False
5430.0,39.98,0.344,,,19404.28,GirthWeld,,,,,,,,,,,0.7,530.72,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5914.4245439999995,ft,,in,,in,,,,False,False,False
5440.0,40.0,0.344,,,19444.27,GirthWeld,,,,,,,,,,,0.7,523.48,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5926.613496000001,ft,,in,,in,,,,False,False,False
5450.0,40.02,0.344,,,19484.27,GirthWeld,,,,,,,,,,,0.7,516.01,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5938.805496000001,ft,,in,,in,,,,False,False,False
5460.0,39.92,0.344,,,19524.29,GirthWeld,,,,,,,,,,,0.7,508.05,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5951.003592000001,ft,,in,,in,,,,False,False,False
5470.0,40.03,0.344,,,19564.2,GirthWeld,,,,,,,,,,,0.7,499.47,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5963.16816,ft,,in,,in,,,,False,False,False
5480.0,40.05,0.344,,,19604.24,GirthWeld,,,,,,,,,,,0.7,490.39,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5975.372352000001,ft,,in,,in,,,,False,False,False
5490.0,39.99,0.344,,,19644.28,GirthWeld,,,,,,,,,,,0.7,480.99,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5987.576544,ft,,in,,in,,,,False,False,False
5500.0,40.0,0.344,,,19684.27,GirthWeld,,,,,,,,,,,0.7,471.57,,,,1160.0,65000.0,,1342.0,,,,,,,,,,5999.765496,ft,,in,,in,,,,False,False,False
5510.0,39.98,0.344,,,19724.27,GirthWeld,,,,,,,,,,,0.7,462.25,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6011.957496,ft,,in,,in,,,,False,False,False
5520.0,39.91,0.344,,,19764.25,GirthWeld,,,,,,,,,,,0.7,453.05,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6024.1434,ft,,in,,in,,,,False,False,False
5530.0,40.03,0.344,,,19804.16,GirthWeld,,,,,,,,,,,0.7,444.97,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6036.307968,ft,,in,,in,,,,False,False,False
5540.0,39.98,0.344,,,19844.19,GirthWeld,,,,,,,,,,,0.7,437.03,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6048.509112,ft,,in,,in,,,,False,False,False
5550.0,40.06,0.344,,,19884.17,GirthWeld,,,,,,,,,,,0.7,429.61,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6060.695016,ft,,in,,in,,,,False,False,False
5560.0,39.93,0.344,,,19924.23,GirthWeld,,,,,,,,,,,0.7,423.32,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6072.905304,ft,,in,,in,,,,False,False,False
5570.0,39.89,0.344,,,19964.16,GirthWeld,,,,,,,,,,,0.7,417.24,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6085.075968,ft,,in,,in,,,,False,False,False
5580.0,40.03,0.344,,,20004.05,GirthWeld,,,,,,,,,,,0.7,411.13,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6097.23444,ft,,in,,in,,,,False,False,False
5590.0,40.0,0.344,,,20044.08,GirthWeld,,,,,,,,,,,0.7,404.02,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6109.435584000001,ft,,in,,in,,,,False,False,False
5600.0,40.06,0.344,,,20084.08,GirthWeld,,,,,,,,,,,0.7,396.15,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6121.627584000001,ft,,in,,in,,,,False,False,False
5610.0,40.19,0.344,,,20124.14,GirthWeld,,,,,,,,,,,0.7,388.28,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6133.837872,ft,,in,,in,,,,False,False,False
5620.0,40.15,0.344,,,20164.33,GirthWeld,,,,,,,,,,1.0,0.7,379.37,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6146.087784000001,ft,,in,,in,,,,False,False,False
5620.0,,0.344,-39.29,0.86,20203.62,metal loss,External,10.0,0.034,,,0.43,1.34,05:48:00,,,0.7,367.68,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,6158.063376,ft,10.921999999999999,in,34.036,in,10.0,150.0,,True,True,False
5630.0,40.05,0.344,,,20204.48,GirthWeld,,,,,,,,,,,0.7,367.41,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6158.325504,ft,,in,,in,,,,False,False,False
5640.0,39.94,0.344,,,20244.53,GirthWeld,,,,,,,,,,,0.7,354.46,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6170.532744,ft,,in,,in,,,,False,False,False
5650.0,40.07,0.344,,,20284.47,GirthWeld,,,,,,,,,,,0.7,341.21,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6182.706456000001,ft,,in,,in,,,,False,False,False
5660.0,40.12,0.344,,,20324.54,GirthWeld,,,,,,,,,,2.0,0.7,328.28,,,,1160.0,65000.0,,1342.0,,,,,,,,,,6194.919792000001,ft,,in,,in,,,,False,False,False
5660.0,,0.344,-39.09,1.04,20363.63,cluster,External,34.0,0.117,,,1.98,1.68,06:41:00,,,0.7,316.04,,,,1160.0,65000.0,,1342.0,1415.09,1964.81,1476.02,2049.42,1510.75,2097.64,0.79,1.77,180.0,6206.834424000001,ft,50.291999999999994,in,42.672,in,34.0,180.0,,True,True,False
5660.0,,0.344,-39.28,0.84,20363.82,metal loss,External,25.0,0.086,,,0.75,1.89,07:17:00,,,0.7,315.98,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.39,2038.82,1539.78,2137.94,1540.54,2139.0,0.75,1.84,210.0,6206.892336,ft,19.049999999999997,in,48.00599999999999,in,25.0,210.0,,True,True,False
